Type	CodingMissing	CodingNon-Missing	Non-CodingMissing	Non-CodingNon-Missing
Genome	2120030	41223994	49716180	462581194
NC_046610	127241	2174353	2776102	22279424
NC_046611	110394	2148185	2998322	29028126
NC_046612	37509	1766790	1841546	24291933
NC_046613	65033	1821926	1879586	22323757
NC_046614	77633	1977052	2016552	22648133
NC_046615	80736	2034801	1714712	21233145
NC_046616	79837	2060191	2104019	20862396
NC_046617	114931	1933064	2008916	17775642
NC_046618	97650	2163278	2142099	24116562
NC_046619	129101	1532296	2035561	19759682
NC_046620	78593	1510531	2193630	18580214
NC_046621	49777	1605198	1186385	16552981
NC_046622	152532	1963878	2004905	21791526
NC_046623	58858	1545237	1100933	17169972
NC_046624	43490	1541932	1433993	18901835
NC_046625	61256	1958961	1646448	20767510
NC_046626	106050	1930721	2357904	19021956
NC_046627	331764	1564323	8082018	21102810
NC_046628	51215	1644742	1475763	15522012
NC_046629	101280	1970046	2171783	20253232
NC_046630	58593	1726075	1188208	18009601
NC_046631	34131	1029855	925427	13369699
NC_046632	47767	1598504	1524056	16763142
NW_022872793	11	712	22947	24784
NW_022872794	1878	0	41952	2408
NW_022872795	492	4086	35794	1811
NW_022872796	264	174	29142	6268
NW_022872797	0	0	20694	4868
NW_022872798	492	228	23438	17008
NW_022872799	1138	269	51328	28721
NW_022872800	399	1191	18998	10007
NW_022872801	0	2760	24245	35338
NW_022872802	0	0	12604	0
NW_022872803	1485	735	53726	23788
NW_022872804	838	773	43118	23422
NW_022872805	3460	3248	125816	47642
NW_022872806	0	0	37789	4821
NW_022872807	0	0	21796	13426
NW_022872808	0	0	11158	18586
NW_022872809	462	0	31635	11452
NW_022872810	0	0	14675	34011
NW_022872811	641	436	22597	3694
NW_022872812	191	1357	31169	16974
NW_022872813	2225	3179	39566	21128
NW_022872814	3154	2840	37837	23560
NW_022872815	1889	67	63103	11366
NW_022872816	5640	0	10577	20908
NW_022872817	0	0	21120	1388
NW_022872818	0	0	6860	29272
NW_022872819	0	0	53628	19253
