Type	MissingRead	MissingNon-Read	Non-MissingRead	Non-MissingNon-Read
Genome	34159701	17676509	493985510	9819678
NC_046610	1847696	1055647	24034827	418950
NC_046611	2174628	934088	30857003	319308
NC_046612	1189526	689529	25843427	215296
NC_046613	1256417	688202	23447569	698114
NC_046614	1312805	781380	24370295	254890
NC_046615	1124588	670860	22816856	451090
NC_046616	1444140	739716	22693206	229381
NC_046617	1462794	661053	19490468	218238
NC_046618	1449441	790308	25832452	447388
NC_046619	1394986	769676	20988675	303303
NC_046620	1434353	837870	19758660	332085
NC_046621	790552	445610	17967768	190411
NC_046622	1457599	699838	23525078	230326
NC_046623	746779	413012	18552881	162328
NC_046624	1004049	473434	20187752	256015
NC_046625	1085266	622438	22438177	288294
NC_046626	1688301	775653	20678786	273891
NC_046627	5898083	2515699	20061403	2605730
NC_046628	971968	555010	16958803	207951
NC_046629	1480313	792750	21429327	793951
NC_046630	838418	408383	19519738	215938
NC_046631	618775	340783	14164187	235367
NC_046632	965357	606466	18029273	332373
NW_022872793	18550	4408	19676	5820
NW_022872794	8531	35299	1396	1012
NW_022872795	26620	9666	5757	140
NW_022872796	23719	5687	4499	1943
NW_022872797	16163	4531	4425	443
NW_022872798	19605	4325	16855	381
NW_022872799	36290	16176	22661	6329
NW_022872800	9441	9956	7365	3833
NW_022872801	18192	6053	33810	4288
NW_022872802	7147	5457	0	0
NW_022872803	39807	15404	21687	2836
NW_022872804	30969	12987	21409	2786
NW_022872805	20818	108458	10654	40236
NW_022872806	24352	13437	3529	1292
NW_022872807	16181	5615	9273	4153
NW_022872808	6623	4535	6173	12413
NW_022872809	24212	7885	10409	1043
NW_022872810	6242	8433	8821	25190
NW_022872811	6746	16492	2551	1579
NW_022872812	21088	10272	13470	4861
NW_022872813	27424	14367	21982	2325
NW_022872814	25399	15592	20805	5595
NW_022872815	53056	11936	10307	1126
NW_022872816	5047	11170	20357	551
NW_022872817	13894	7226	732	656
NW_022872818	5220	1640	22396	6876
NW_022872819	11531	42097	17900	1353
