Type	MissingGap	MissingNon-Gap	Non-MissingGap	Non-MissingNon-Gap
Genome	5688422	207724188	52789977	1592332984
NC_041728	630891	23277077	5260611	157337437
NC_041729	650414	20418521	4447597	146203131
NC_041730	498588	16548345	4663279	120276870
NC_041731	413567	14056750	4393612	117230460
NC_041732	384941	14210594	4103128	91594367
NC_041733	146806	4404885	1695977	45245824
NC_041734	296668	7772095	1919493	73349787
NC_041735	239140	5290547	1064666	64355461
NC_041736	105547	3821724	1574706	56359246
NC_041737	154107	5265439	1865116	52160034
NC_041738	237548	7808689	2080629	53379165
NC_041739	129106	5361988	1764153	53200802
NC_041740	70650	3317806	1537404	37368782
NC_041741	120298	3282949	1497407	47988752
NC_041742	59519	1787096	706785	23821619
NC_041743	124187	3882688	1428530	40961870
NC_041744	86156	4985064	1534798	38930652
NC_041745	154666	5007553	910991	38611291
NC_041746	48762	2152483	1145326	31773970
NC_041747	95645	3022155	216527	27201207
NC_041748	107181	4149268	948017	19310393
NC_041749	436018	14893002	2616508	107095386
NC_041750	113247	3614588	859387	25074884
NC_041751	97866	1952651	344390	31468429
NC_041752	31961	2125014	317024	6165457
NC_041753	187457	9682517	2807501	57461845
NW_021638003	2704	472833	14729	743734
NW_021638004	6872	1991794	8734	2913725
NW_021638005	1764	1006605	10267	1998935
NW_021638006	748	733714	15524	268014
NW_021638007	184	528581	0	49628
NW_021638008	10	5327	756	15160
NW_021638009	0	2875	0	19202
NW_021638010	0	39156	0	31985
NW_021638011	0	950	2	20608
NW_021638012	0	9197	1727	43789
NW_021638013	99	11078	0	18557
NW_021638014	0	704	173	30880
NW_021638015	0	42176	0	5293
NW_021638016	0	34835	0	19568
NW_021638017	0	6430	4496	24711
NW_021638018	0	17255	0	3062
NW_021638019	0	6444	0	14381
NW_021638020	0	14732	0	5647
NW_021638021	0	36107	0	9734
NW_021638022	76	23493	5	21882
NW_021638023	0	1696	214	24816
NW_021638024	0	579	74	32513
NW_021638025	0	10098	0	13841
NW_021638026	64	2834	3036	43289
NW_021638027	0	40033	0	2955
NW_021638028	0	310	2841	24142
NW_021638029	0	13486	64	34219
NW_021638030	0	5161	0	23350
NW_021638031	0	828	2788	18540
NW_021638032	67	3774	3391	25963
NW_021638033	0	1119	5797	16725
NW_021638034	0	8761	0	19227
NW_021638035	27	136434	351	35831
NW_021638036	0	14246	0	10678
NW_021638037	0	23103	0	2659
NW_021638038	8	6192	2275	25268
NW_021638039	0	57760	0	892
NW_021638040	325	481089	23842	775502
NW_021638041	0	14514	1870	85148
NW_021638042	226	2416	3887	46932
NW_021638043	203	1908073	2959	300005
NW_021638044	0	7277	0	31432
NW_021638045	0	4866	4693	19841
NW_021638046	0	15860	20	33899
NW_021638047	0	2578	3331	27545
NW_021638048	0	322	799	22436
NW_021638049	0	4296	0	21051
NW_021638050	0	26253	0	6897
NW_021638051	0	2320	1488	20095
NW_021638052	0	16559	30	21236
NW_021638053	0	11790	0	11715
NW_021638054	0	1488	1847	17963
NW_021638055	389	9379	175	14168
NW_021638056	0	25885	0	7082
NW_021638057	0	72655	0	2692
NW_021638058	0	21980	0	16613
NW_021638059	0	30995	568	60532
NW_021638060	0	1950	2687	22378
NW_021638061	0	16257	0	17333
NW_021638062	906	362483	46788	1327544
NW_021638063	109	20909	46058	816409
NW_021638064	596	5346	0	44032
NW_021638065	0	60424	0	6267
NW_021638066	0	562	12133	82800
NW_021638067	940	227909	26003	370966
NW_021638068	0	18198	333	29197
NW_021638069	0	13308	1446	40110
NW_021638070	0	1832	2598	23806
NW_021638071	0	34352	0	5916
NW_021638072	147	152584	5	61962
NW_021638073	0	9949	1308	26063
NW_021638074	80	11765	1059	26925
NW_021638075	386	3551	3188	38137
NW_021638076	0	23267	0	643
NW_021638077	0	8510	0	32227
NW_021638078	8	3363	5660	44293
NW_021638079	25060	620221	183662	3379419
NW_021638080	0	25617	0	3111
NW_021638081	0	7301	10	24770
NW_021638082	22	4955	6283	26520
NW_021638083	0	36337	0	11173
NW_021638084	179	3656	115	31509
NW_021638085	0	1739	1604	52703
NW_021638086	79	80895	424	28578
NW_021638087	137	17775	1689	37536
NW_021638088	0	530	5365	53917
NW_021638089	282	16322	2910	17649
NW_021638090	0	19660	730	27529
NW_021638091	0	0	796	24807
NW_021638092	1	6005	4249	27337
NW_021638093	0	19580	0	3930
NW_021638094	0	7010	5424	32215
NW_021638095	0	8958	0	14697
NW_021638096	0	10587	0	26215
NW_021638097	0	20566	0	1650
NW_021638098	0	7592	0	14754
NW_021638099	0	1336	389	21951
NW_021638100	2	2506	4848	40053
NW_021638101	238	5641	28	33460
NW_021638102	0	2847	1702	45131
NW_021638103	52	7293	72	19905
NW_021638104	91	7357	4085	28885
NW_021638105	0	25749	0	1655
NW_021638106	0	10684	0	12635
NW_021638107	0	69546	0	4311
NW_021638108	0	18041	0	2202
NW_021638109	0	9286	0	24663
NW_021638110	130	49939	1243	40393
NW_021638111	168	6062	78	17602
NW_021638112	158	7064	2638	22929
NW_021638113	0	6981	1648	26963
NW_021638114	0	20409	538	50757
NW_021638115	0	637	1753	23016
NW_021638116	634	94796	33907	612142
NW_021638117	449	12144	62	30717
NW_021638118	0	14810	0	5603
NW_021638119	129	105198	13176	209920
NW_021638120	0	2421	3094	41002
NW_021638121	0	2695	14003	43179
NW_021638122	112	3078	1477	33344
NW_021638123	0	28500	0	918
NW_021638124	0	0	3983	26810
NW_021638125	0	17803	0	16046
NW_021638126	0	43524	0	40961
NW_021638127	12	11803	4126	40322
NW_021638128	0	15185	1156	32741
NW_021638129	0	26310	0	20698
NW_021638130	12	6811	3615	48406
NW_021638131	0	56156	0	17453
NW_021638132	0	26380	0	48170
NW_021638133	0	17559	0	6562
NW_021638134	0	9571	0	31051
NW_021638135	0	0	5039	17007
NW_021638136	0	52767	0	1572
NW_021638137	0	30	89	26703
NW_021638138	0	13488	0	22063
NW_021638139	359	168604	210	68546
NW_021638140	0	18323	0	12232
NW_021638141	0	1271	0	21462
NW_021638142	0	15273	0	40201
NW_021638143	0	19269	0	5037
NW_021638144	0	43616	0	12231
NW_021638145	0	21137	0	3004
NW_021638146	194	19973	3749	150756
NW_021638147	0	20623	0	18636
NW_021638148	46	3593	76	20567
NW_021638149	0	12777	0	19701
NW_021638150	0	1824	1757	27215
NW_021638151	0	15938	167	18942
NW_021638152	0	5360	0	20066
NW_021638153	0	11	5696	19224
NW_021638154	0	3671	0	22595
NW_021638155	141	21237	982	24966
NW_021638156	0	5005	1563	31006
NW_021638157	0	349	755	19437
NW_021638158	0	35478	1327	14080
NW_021638159	0	12029	10	14796
NW_021638160	117	31264	0	34761
NW_021638161	601	46077	4983	408133
NW_021638162	0	17056	0	14921
NW_021638163	0	4513	7125	29837
NW_021638164	44	5464	1358	35160
NW_021638165	0	15541	634	24335
NW_021638166	9	29033	5	33569
NW_021638167	0	5524	0	19215
NW_021638168	0	22232	1102	26244
NW_021638169	0	48904	20	32231
NW_021638170	0	33499	0	3268
NW_021638171	89	20261	46	32297
NW_021638172	1910	77560	5423	336271
NW_021638173	0	11048	0	18506
NW_021638174	0	11394	0	15362
NW_021638175	0	9563	0	11267
NW_021638176	0	39534	0	17427
NW_021638177	0	3447	4740	24519
NW_021638178	0	14484	0	0
NW_021638179	0	20719	0	904
NW_021638180	298	4043	624	44554
NW_021638181	0	11074	226	17763
NW_021638182	0	927	66	45564
NW_021638183	0	25352	0	3282
NW_021638184	0	23913	0	11060
NW_021638185	0	1302	1249	26523
NW_021638186	0	733	0	26464
NW_021638187	9	7995	10522	34910
NW_021638188	0	13201	20	23628
NW_021638189	96	11749	19	16807
NW_021638190	10	746	1783	19729
NW_021638191	0	18712	0	2867
NW_021638192	0	0	5221	30317
NW_021638193	116	7128	6362	20249
NW_021638194	0	16689	0	30851
NW_021638195	5	15478	18	18318
NW_021638196	0	33957	0	12125
NW_021638197	0	2518	1039	19199
NW_021638198	38	2212	2398	42587
NW_021638199	0	6590	0	5543
NW_021638200	0	11258	537	13652
NW_021638201	93	9773	5264	12890
NW_021638202	0	8510	1062	22200
NW_021638203	410	23474	6392	190450
NW_021638204	0	3335	65	47040
NW_021638205	0	14355	52	37455
NW_021638206	0	16905	0	10256
NW_021638207	0	6156	6776	72377
NW_021638208	0	19278	0	2958
NW_021638209	140	9528	68	36102
NW_021638210	0	11571	3111	28704
NW_021638211	80	21400	1101	21441
NW_021638212	0	7538	4722	21157
NW_021638213	0	1268	3112	20428
NW_021638214	61	14362	1077	12553
NW_021638215	2	1340	2766	27347
NW_021638216	0	28433	0	4933
NW_021638217	73	13974	742	18956
NW_021638218	3	12005	5615	39228
NW_021638219	376	1865	0	30022
NW_021638220	209	374	247	30088
NW_021638221	72	47124	8913	172548
NW_021638222	0	12312	56	24677
NW_021638223	0	9560	0	31702
NW_021638224	74	1222	3966	50340
NW_021638225	590	140777	5590	679148
NW_021638226	0	2211	2602	22892
NW_021638227	0	42608	0	1127
NW_021638228	0	6734	0	28479
NW_021638229	0	39307	5351	109995
NW_021638230	0	102991	0	6085
NW_021638231	0	22822	0	16975
NW_021638232	0	1274	3665	27915
NW_021638233	178	38282	323	15404
NW_021638234	0	11394	0	9754
NW_021638235	0	27923	0	875
NW_021638236	57	13150	7	16569
NW_021638237	0	6248	0	17683
NW_021638238	5	14935	3083	8293
NW_021638239	0	6747	0	21760
NW_021638240	0	1033	110	20624
NW_021638241	0	3296	0	19098
NW_021638242	321	122160	15626	281665
NW_021638243	193	121092	13001	184536
NW_021638244	0	9573	0	15490
NW_021638245	0	32608	0	3037
NW_021638246	80	14211	1077	15517
NW_021638247	3	17261	150	29286
NW_021638248	0	6573	1708	22779
NW_021638249	0	100	1438	9686
NW_021638250	0	119	519	29185
NW_021638251	0	860	0	24800
NW_021638252	0	3649	6289	15735
NW_021638253	0	45768	4451	127451
NW_021638254	5	103668	3096	64297
NW_021638255	0	5	2616	21147
NW_021638256	0	18573	0	1775
NW_021638257	127	21831	899	125245
NW_021638258	0	1706	3335	18475
NW_021638259	0	11330	0	19682
NW_021638260	0	7470	0	18511
NW_021638261	0	24647	0	3374
NW_021638262	0	11699	0	8830
NW_021638263	214	13061	0	37620
NW_021638264	0	34563	0	5723
NW_021638265	0	8180	3567	30529
NW_021638266	0	619	2615	20096
NW_021638267	0	38740	0	639
NW_021638268	0	363	5012	33702
NW_021638269	362	241182	41594	783312
NW_021638270	11	20253	42535	388996
NW_021638271	3934	891543	57529	2036657
NW_021638272	757	468630	55315	872790
NW_021638273	135	17154	5	22586
NW_021638274	65	9099	3088	28664
NW_021638275	0	1170	4319	30956
NW_021638276	1027	138495	21133	582437
NW_021638277	0	10579	40	21461
NW_021638278	8844	565423	59560	1477278
NW_021638279	0	885	0	19920
NW_021638280	18	16882	219	11432
