Type	MissingReadOrGap	MissingNon-ReadOrGap	Non-MissingReadOrGap	Non-MissingNon-ReadOrGap
Genome	35540582	177872028	1543248304	101874657
NC_041728	3870288	20037680	152544031	10054017
NC_041729	3758840	17310095	141062424	9588304
NC_041730	3069013	13977920	117299541	7640608
NC_041731	2586970	11883347	114732544	6891528
NC_041732	2266208	12329327	88791796	6905699
NC_041733	868062	3683629	44667940	2273861
NC_041734	1444595	6624168	71041588	4227692
NC_041735	930607	4599080	62523249	2896878
NC_041736	679362	3247909	55905461	2028491
NC_041737	929660	4489886	51453838	2571312
NC_041738	1207565	6838672	51661600	3798194
NC_041739	836848	4654246	52510184	2454771
NC_041740	489012	2899444	37323109	1583077
NC_041741	575563	2827684	47512769	1973390
NC_041742	371279	1475336	23527501	1000903
NC_041743	677079	3329796	40153650	2236750
NC_041744	722933	4348287	38417721	2047729
NC_041745	662342	4499877	37449455	2072827
NC_041746	333741	1867504	31752832	1166464
NC_041747	329638	2788162	26499452	918282
NC_041748	573236	3683213	18398765	1859645
NC_041749	2373594	12955426	102117661	7594233
NC_041750	544559	3183276	23979436	1954835
NC_041751	368580	1681937	30631421	1181398
NC_041752	274175	1882800	5659457	823024
NC_041753	1354268	8515706	55858044	4411302
NW_021638003	52133	423404	59248	699215
NW_021638004	184240	1814426	345935	2576524
NW_021638005	54520	953849	70612	1938590
NW_021638006	49103	685359	23690	259848
NW_021638007	39405	489360	1645	47983
NW_021638008	3442	1895	15189	727
NW_021638009	665	2210	19040	162
NW_021638010	37986	1170	31985	0
NW_021638011	851	99	20610	0
NW_021638012	3008	6189	43583	1933
NW_021638013	2004	9173	16990	1567
NW_021638014	704	0	31053	0
NW_021638015	1956	40220	0	5293
NW_021638016	34835	0	19568	0
NW_021638017	2044	4386	25499	3708
NW_021638018	0	17255	0	3062
NW_021638019	6444	0	14357	24
NW_021638020	14732	0	5647	0
NW_021638021	2473	33634	4766	4968
NW_021638022	5753	17816	15886	6001
NW_021638023	607	1089	23377	1653
NW_021638024	414	165	30518	2069
NW_021638025	9849	249	13841	0
NW_021638026	1488	1410	42174	4151
NW_021638027	226	39807	0	2955
NW_021638028	310	0	26983	0
NW_021638029	4328	9158	28841	5442
NW_021638030	1707	3454	19463	3887
NW_021638031	828	0	20417	911
NW_021638032	725	3116	27093	2261
NW_021638033	637	482	22505	17
NW_021638034	8613	148	19227	0
NW_021638035	28908	107553	17329	18853
NW_021638036	14246	0	10628	50
NW_021638037	0	23103	0	2659
NW_021638038	1550	4650	23130	4413
NW_021638039	1105	56655	0	892
NW_021638040	146521	334893	665924	133420
NW_021638041	4318	10196	83430	3588
NW_021638042	1521	1121	50366	453
NW_021638043	132780	1775496	11990	290974
NW_021638044	7277	0	31432	0
NW_021638045	1126	3740	20157	4377
NW_021638046	4744	11116	26612	7307
NW_021638047	256	2322	23221	7655
NW_021638048	75	247	22609	626
NW_021638049	738	3558	16223	4828
NW_021638050	776	25477	0	6897
NW_021638051	2320	0	21583	0
NW_021638052	4953	11606	19433	1833
NW_021638053	11736	54	11715	0
NW_021638054	633	855	19392	418
NW_021638055	1005	8763	11666	2677
NW_021638056	25045	840	7082	0
NW_021638057	2550	70105	9	2683
NW_021638058	5926	16054	13163	3450
NW_021638059	7776	23219	54204	6896
NW_021638060	341	1609	23332	1733
NW_021638061	16207	50	17285	48
NW_021638062	75543	287846	986083	388249
NW_021638063	9623	11395	419210	443257
NW_021638064	1746	4196	40282	3750
NW_021638065	3030	57394	0	6267
NW_021638066	98	464	92577	2356
NW_021638067	77304	151545	359493	37476
NW_021638068	10613	7585	27556	1974
NW_021638069	4135	9173	35443	6113
NW_021638070	1234	598	26404	0
NW_021638071	31997	2355	5916	0
NW_021638072	27443	125288	31217	30750
NW_021638073	4858	5091	25337	2034
NW_021638074	11273	572	27984	0
NW_021638075	823	3114	37177	4148
NW_021638076	878	22389	0	643
NW_021638077	8510	0	32227	0
NW_021638078	645	2726	45417	4536
NW_021638079	92184	553097	3211465	351616
NW_021638080	2804	22813	0	3111
NW_021638081	4350	2951	24270	510
NW_021638082	1044	3933	31839	964
NW_021638083	32946	3391	11173	0
NW_021638084	214	3621	28762	2862
NW_021638085	36	1703	52188	2119
NW_021638086	9205	71769	17688	11314
NW_021638087	7556	10356	32943	6282
NW_021638088	508	22	59206	76
NW_021638089	616	15988	18067	2492
NW_021638090	19642	18	28259	0
NW_021638091	0	0	25603	0
NW_021638092	2605	3401	31020	566
NW_021638093	18883	697	3930	0
NW_021638094	6033	977	35136	2503
NW_021638095	8958	0	14697	0
NW_021638096	1904	8683	17638	8577
NW_021638097	2330	18236	0	1650
NW_021638098	7543	49	14754	0
NW_021638099	980	356	18554	3786
NW_021638100	1543	965	43471	1430
NW_021638101	618	5261	31173	2315
NW_021638102	1340	1507	46741	92
NW_021638103	2064	5281	17410	2567
NW_021638104	3990	3458	32320	650
NW_021638105	25348	401	1655	0
NW_021638106	3275	7409	10708	1927
NW_021638107	627	68919	0	4311
NW_021638108	776	17265	0	2202
NW_021638109	7132	2154	24598	65
NW_021638110	5385	44684	34128	7508
NW_021638111	4344	1886	15244	2436
NW_021638112	495	6727	20355	5212
NW_021638113	3104	3877	26748	1863
NW_021638114	5905	14504	46720	4575
NW_021638115	99	538	24537	232
NW_021638116	41084	54346	621762	24287
NW_021638117	1982	10611	17025	13754
NW_021638118	13318	1492	5603	0
NW_021638119	24852	80475	201346	21750
NW_021638120	1747	674	43576	520
NW_021638121	803	1892	56415	767
NW_021638122	1959	1231	34821	0
NW_021638123	1077	27423	0	918
NW_021638124	0	0	30793	0
NW_021638125	17631	172	16046	0
NW_021638126	43276	248	40961	0
NW_021638127	4904	6911	40985	3463
NW_021638128	5632	9553	30771	3126
NW_021638129	26310	0	20698	0
NW_021638130	1009	5814	47341	4680
NW_021638131	54359	1797	17453	0
NW_021638132	26281	99	48170	0
