Type	CpGislandMissing	CpGislandNon-Missing	Non-CpGislandMissing	Non-CpGislandNon-Missing
Genome	1606372	4996424	50229838	498808764
NC_046610	94105	285106	2809238	24168671
NC_046611	86623	284534	3022093	30891777
NC_046612	60390	191614	1818665	25867109
NC_046613	62252	213579	1882367	23932104
NC_046614	86962	222905	2007223	24402280
NC_046615	71210	210591	1724238	23057355
NC_046616	78755	225325	2105101	22697262
NC_046617	81253	238857	2042594	19469849
NC_046618	72516	234460	2167233	26045380
NC_046619	77506	202449	2087156	21089529
NC_046620	64219	230413	2208004	19860332
NC_046621	45227	177161	1190935	17981018
NC_046622	69307	205631	2088130	23549773
NC_046623	34126	159419	1125665	18555790
NC_046624	47596	190874	1429887	20252893
NC_046625	54886	219057	1652818	22507414
NC_046626	77060	242621	2386894	20710056
NC_046627	155745	231061	8258037	22436072
NC_046628	43039	188123	1483939	16978631
NC_046629	65119	197220	2207944	22026058
NC_046630	36047	219720	1210754	19515956
NC_046631	36193	184531	923365	14215023
NC_046632	67189	234310	1504634	18127336
NW_022872793	1146	388	21812	25108
NW_022872794	1083	485	42747	1923
NW_022872795	8445	0	27841	5897
NW_022872796	0	0	29406	6442
NW_022872797	1417	248	19277	4620
NW_022872798	0	0	23930	17236
NW_022872799	3906	404	48560	28586
NW_022872800	1106	478	18291	10720
NW_022872801	1078	1385	23167	36713
NW_022872802	656	0	11948	0
NW_022872803	2705	570	52506	23953
NW_022872804	3199	0	40757	24195
NW_022872805	543	189	128733	50701
NW_022872806	547	203	37242	4618
NW_022872807	1067	487	20729	12939
NW_022872808	0	0	11158	18586
NW_022872809	1219	216	30878	11236
NW_022872810	2236	793	12439	33218
NW_022872811	950	128	22288	4002
NW_022872812	610	0	30750	18331
NW_022872813	3173	137	38618	24170
NW_022872814	0	0	40991	26400
NW_022872815	504	477	64488	10956
NW_022872816	0	0	16217	20908
NW_022872817	784	0	20336	1388
NW_022872818	0	0	6860	29272
NW_022872819	2673	275	50955	18978
