Type	CodingMissing	CodingNon-Missing	Non-CodingMissing	Non-CodingNon-Missing
Genome	4218005	27943973	209194605	1617178988
NC_041728	267550	1787546	23640418	160810502
NC_041729	255311	2133527	20813624	148517201
NC_041730	327525	1866991	16719408	123073158
NC_041731	146513	1514479	14323804	120109593
NC_041732	332771	1681933	14262764	94015562
NC_041733	144023	798138	4407668	46143663
NC_041734	117230	1243559	7951533	74025721
NC_041735	94004	1019521	5435683	64400606
NC_041736	55130	1050649	3872141	56883303
NC_041737	272323	1064273	5147223	52960877
NC_041738	243851	1313227	7802386	54146567
NC_041739	54988	667486	5436106	54297469
NC_041740	217364	1036116	3171092	37870070
NC_041741	83274	944017	3319973	48542142
NC_041742	57821	481013	1788794	24047391
NC_041743	132421	1077111	3874454	41313289
NC_041744	120196	887174	4951024	39578276
NC_041745	92552	640255	5069667	38882027
NC_041746	60683	726866	2140562	32192430
NC_041747	44775	654956	3073025	26762778
NC_041748	192096	539018	4064353	19719392
NC_041749	130808	1723337	15198212	107988557
NC_041750	123343	763535	3604492	25170736
NC_041751	62917	436281	1987600	31376538
NC_041752	71876	280024	2085099	6202457
NC_041753	387814	1108060	9482160	59161286
NW_021638003	615	5613	474922	752850
NW_021638004	9855	20394	1988811	2902065
NW_021638005	5812	8585	1002557	2000617
NW_021638006	5896	6023	728566	277515
NW_021638007	7216	2315	521549	47313
NW_021638008	0	0	5337	15916
NW_021638009	0	0	2875	19202
NW_021638010	0	0	39156	31985
NW_021638011	0	0	950	20610
NW_021638012	0	0	9197	45516
NW_021638013	73	236	11104	18321
NW_021638014	0	0	704	31053
NW_021638015	0	0	42176	5293
NW_021638016	0	0	34835	19568
NW_021638017	0	0	6430	29207
NW_021638018	0	0	17255	3062
NW_021638019	0	0	6444	14381
NW_021638020	0	0	14732	5647
NW_021638021	0	0	36107	9734
NW_021638022	500	1866	23069	20021
NW_021638023	0	0	1696	25030
NW_021638024	0	0	579	32587
NW_021638025	0	0	10098	13841
NW_021638026	0	0	2898	46325
NW_021638027	0	0	40033	2955
NW_021638028	0	0	310	26983
NW_021638029	0	0	13486	34283
NW_021638030	0	0	5161	23350
NW_021638031	0	0	828	21328
NW_021638032	0	0	3841	29354
NW_021638033	0	1381	1119	21141
NW_021638034	0	0	8761	19227
NW_021638035	0	0	136461	36182
NW_021638036	0	0	14246	10678
NW_021638037	0	0	23103	2659
NW_021638038	0	0	6200	27543
NW_021638039	0	0	57760	892
NW_021638040	0	0	481414	799344
NW_021638041	0	1719	14514	85299
NW_021638042	341	580	2301	50239
NW_021638043	9203	23272	1899073	279692
NW_021638044	0	0	7277	31432
NW_021638045	0	0	4866	24534
NW_021638046	0	0	15860	33919
NW_021638047	0	0	2578	30876
NW_021638048	0	918	322	22317
NW_021638049	0	0	4296	21051
NW_021638050	225	0	26028	6897
NW_021638051	0	0	2320	21583
NW_021638052	0	0	16559	21266
NW_021638053	0	0	11790	11715
NW_021638054	0	0	1488	19810
NW_021638055	342	1659	9426	12684
NW_021638056	0	0	25885	7082
NW_021638057	0	0	72655	2692
