Type	RepeatMissing	RepeatNon-Missing	Non-RepeatMissing	Non-RepeatNon-Missing
Genome	23150740	91790481	28685470	412014707
NC_046610	1283691	4669720	1619652	19784057
NC_046611	1451054	5822549	1657662	25353762
NC_046612	875585	4768459	1003470	21290264
NC_046613	801885	4300029	1142734	19845654
NC_046614	975921	4519823	1118264	20105362
NC_046615	795285	4044483	1000163	19223463
NC_046616	1022492	4188349	1161364	18734238
NC_046617	921415	3645973	1202432	16062733
NC_046618	958068	4773808	1281681	21506032
NC_046619	965974	3870913	1198688	17421065
NC_046620	1041781	3765977	1230442	16324768
NC_046621	534599	3095172	701563	15063007
NC_046622	905157	4368945	1252280	19386459
NC_046623	464977	3225131	694814	15490078
NC_046624	706869	3594906	770614	16848861
NC_046625	744411	4080355	963293	18646116
NC_046626	1134953	3897781	1329001	17054896
NC_046627	3971785	4709047	4441997	17958086
NC_046628	667435	2996829	859543	14169925
NC_046629	933111	3966334	1339952	18256944
NC_046630	515045	3591174	731756	16144502
NC_046631	384911	2475049	574647	11924505
NC_046632	675828	3295827	895995	15065819
NW_022872793	9897	5241	13061	20255
NW_022872794	18446	1256	25384	1152
NW_022872795	22142	945	14144	4952
NW_022872796	17394	4812	12012	1630
NW_022872797	6973	1807	13721	3061
NW_022872798	9885	6114	14045	11122
NW_022872799	16239	10015	36227	18975
NW_022872800	7544	2425	11853	8773
NW_022872801	18667	14533	5578	23565
NW_022872802	7420	0	5184	0
NW_022872803	24213	6559	30998	17964
NW_022872804	16592	4793	27364	19402
NW_022872805	49020	9114	80256	41776
NW_022872806	25823	1967	11966	2854
NW_022872807	4292	3136	17504	10290
NW_022872808	5647	3533	5511	15053
NW_022872809	16446	2917	15651	8535
NW_022872810	5753	5609	8922	28402
NW_022872811	9600	1651	13638	2479
NW_022872812	13003	4495	18357	13836
NW_022872813	16870	7047	24921	17260
NW_022872814	21231	10738	19760	15662
NW_022872815	29904	3357	35088	8076
NW_022872816	6176	4043	10041	16865
NW_022872817	13316	814	7804	574
NW_022872818	5118	5435	1742	23837
NW_022872819	20897	1492	32731	17761
