Type	MissingReadAndGap	MissingNon-ReadAndGap	Non-MissingReadAndGap	Non-MissingNon-ReadAndGap
Genome	3022382	210390228	52242513	1592880448
NC_041728	353919	23554049	5215777	157382271
NC_041729	362149	20706786	4399067	146251661
NC_041730	277688	16769245	4621527	120318622
NC_041731	228527	14241790	4359019	117265053
NC_041732	206111	14389424	4062509	91634986
NC_041733	81863	4469828	1680783	45261018
NC_041734	158740	7910023	1902088	73367192
NC_041735	127125	5402562	1047693	64372434
NC_041736	53945	3873326	1563409	56370543
NC_041737	74623	5344923	1850247	52174903
NC_041738	117921	7928316	2057711	53402083
NC_041739	70355	5420739	1752539	53212416
NC_041740	33110	3355346	1528026	37378160
NC_041741	62614	3340633	1489427	47996732
NC_041742	32239	1814376	699631	23828773
NC_041743	60803	3946072	1413236	40977164
NC_041744	41619	5029601	1519154	38946296
NC_041745	79638	5082581	901423	38620859
NC_041746	25520	2175725	1139345	31779951
NC_041747	49695	3068105	213999	27203735
NC_041748	53234	4203215	934748	19323662
NC_041749	226337	15102683	2585303	107126591
NC_041750	52085	3675750	847679	25086592
NC_041751	51333	1999184	341669	31471150
NC_041752	14982	2141993	311813	6170668
NC_041753	96071	9773903	2782142	57487204
NW_021638003	89	475448	1038	757425
NW_021638004	874	1997792	1735	2920724
NW_021638005	149	1008220	2026	2007176
NW_021638006	9	734453	941	282597
NW_021638007	0	528765	0	49628
NW_021638008	10	5327	756	15160
NW_021638009	0	2875	0	19202
NW_021638010	0	39156	0	31985
NW_021638011	0	950	2	20608
NW_021638012	0	9197	1557	43959
NW_021638013	99	11078	0	18557
NW_021638014	0	704	173	30880
NW_021638015	0	42176	0	5293
NW_021638016	0	34835	0	19568
NW_021638017	0	6430	4496	24711
NW_021638018	0	17255	0	3062
NW_021638019	0	6444	0	14381
NW_021638020	0	14732	0	5647
NW_021638021	0	36107	0	9734
NW_021638022	23	23546	5	21882
NW_021638023	0	1696	214	24816
NW_021638024	0	579	74	32513
NW_021638025	0	10098	0	13841
NW_021638026	64	2834	3026	43299
NW_021638027	0	40033	0	2955
NW_021638028	0	310	2841	24142
NW_021638029	0	13486	64	34219
NW_021638030	0	5161	0	23350
NW_021638031	0	828	2788	18540
NW_021638032	8	3833	3391	25963
NW_021638033	0	1119	5797	16725
NW_021638034	0	8761	0	19227
NW_021638035	0	136461	294	35888
NW_021638036	0	14246	0	10678
NW_021638037	0	23103	0	2659
NW_021638038	8	6192	2275	25268
NW_021638039	0	57760	0	892
NW_021638040	258	481156	22825	776519
NW_021638041	0	14514	1870	85148
NW_021638042	182	2460	3887	46932
NW_021638043	0	1908276	0	302964
NW_021638044	0	7277	0	31432
NW_021638045	0	4866	3525	21009
NW_021638046	0	15860	20	33899
NW_021638047	0	2578	2414	28462
NW_021638048	0	322	799	22436
NW_021638049	0	4296	0	21051
NW_021638050	0	26253	0	6897
NW_021638051	0	2320	1488	20095
NW_021638052	0	16559	30	21236
NW_021638053	0	11790	0	11715
NW_021638054	0	1488	1847	17963
NW_021638055	142	9626	175	14168
NW_021638056	0	25885	0	7082
NW_021638057	0	72655	0	2692
NW_021638058	0	21980	0	16613
NW_021638059	0	30995	568	60532
NW_021638060	0	1950	2687	22378
NW_021638061	0	16257	0	17333
NW_021638062	797	362592	46607	1327725
NW_021638063	42	20976	46058	816409
NW_021638064	363	5579	0	44032
NW_021638065	0	60424	0	6267
NW_021638066	0	562	12133	82800
NW_021638067	652	228197	25901	371068
NW_021638068	0	18198	333	29197
NW_021638069	0	13308	1446	40110
NW_021638070	0	1832	2598	23806
NW_021638071	0	34352	0	5916
NW_021638072	147	152584	5	61962
NW_021638073	0	9949	1308	26063
NW_021638074	80	11765	1059	26925
NW_021638075	270	3667	3188	38137
NW_021638076	0	23267	0	643
NW_021638077	0	8510	0	32227
NW_021638078	1	3370	5595	44358
NW_021638079	11793	633488	181749	3381332
NW_021638080	0	25617	0	3111
NW_021638081	0	7301	10	24770
NW_021638082	0	4977	6283	26520
NW_021638083	0	36337	0	11173
NW_021638084	64	3771	35	31589
NW_021638085	0	1739	1604	52703
NW_021638086	79	80895	424	28578
NW_021638087	104	17808	1649	37576
NW_021638088	0	530	5365	53917
NW_021638089	131	16473	2892	17667
NW_021638090	0	19660	730	27529
NW_021638091	0	0	796	24807
NW_021638092	1	6005	4249	27337
NW_021638093	0	19580	0	3930
NW_021638094	0	7010	5375	32264
NW_021638095	0	8958	0	14697
NW_021638096	0	10587	0	26215
