Type	CpGislandMissing	CpGislandNon-Missing	Non-CpGislandMissing	Non-CpGislandNon-Missing
Genome	9073707	14674330	41370892	992876351
NC_044224	109309	310028	246250	19770065
NC_044218	151418	474508	492186	34546922
NC_044235	135336	232029	618756	5843801
NC_044217	272056	843583	754456	60135271
NC_044212	175048	683773	644291	68927491
NC_044243	757145	129261	4156214	1025530
NC_044242	454512	269991	1294857	2190902
NC_044226	144860	341683	484125	15702799
NC_044229	92767	254865	359964	10979606
NC_044240	281561	306039	680480	4826528
NC_044215	260521	723852	1102310	69466235
NW_022045357	116709	7932	1374179	58122
NW_022045358	1963	0	26521	0
NW_022045359	31983	62297	210097	1279629
NW_022045360	469	1399	1529	29411
NW_022045361	1090	946	3652	29958
NW_022045362	146787	27483	446060	116478
NW_022045363	0	0	1362	44205
NW_022045364	0	866	26	19892
NW_022045365	0	0	433	23604
NW_022045366	1164	3101	5922	48502
NW_022045367	0	479	853	27539
NW_022045368	0	0	1511	21005
NW_022045369	0	0	255	33800
NW_022045370	885	1225	3137	64569
NW_022045371	1072	1397	1363	32834
NW_022045372	2652	3837	16710	62704
NW_022045373	5232	9559	1966	172964
NW_022045374	62480	32315	554756	193133
NW_022045375	0	0	17	42966
NW_022045376	0	485	867	35799
NW_022045377	2142	26348	40883	82883
NW_022045378	6077	2394	79231	16993
NW_022045379	32260	20919	202211	239945
NW_022045380	0	619	1572	47744
NW_022045381	0	1806	860	18547
NW_022045382	1025	282	2521	23360
NW_022045383	0	2690	740	34667
NW_022045384	219	2316	1056	28147
NC_044232	135491	308421	469523	14765332
NC_044219	131932	441137	489569	36997376
NC_044239	288828	230224	743686	4163859
NC_044221	147506	378747	393528	24655884
NC_044211	323479	1011795	1273204	111948937
NW_022045341	290581	32659	2077921	510202
NW_022045342	233	3362	94	112194
NW_022045343	1147	1819	3793	33100
NW_022045344	2438	6786	4369	117661
NW_022045345	0	201	1208	27150
NW_022045346	84	2088	1643	21446
NW_022045347	329	106	6495	50941
NW_022045348	0	488	24	31509
NW_022045349	29140	2548	179744	29579
NW_022045350	172773	26347	974876	109598
NW_022045351	210347	8944	1759836	58503
NW_022045352	0	0	1458	51717
NW_022045353	9811	0	27572	0
NW_022045354	1212	3739	761	33051
NW_022045355	2161	5741	1601	56621
NW_022045356	0	4227	1480	173329
NW_022045307	3274	17352	12905	619488
NW_022045308	0	0	2019	11158
NW_022045309	471	535	3361	8403
NW_022045310	23088	2207	78036	12357
NW_022045311	713	508	2471	20326
NW_022045312	2283	7295	3017	66664
NW_022045313	2682	0	41032	495
NW_022045314	4868	19815	36234	611418
NW_022045315	5710	11655	51502	378184
NW_022045316	0	0	3689	33565
NW_022045317	1092	1651	15473	22513
NW_022045318	452	1890	2173	26576
NW_022045319	597	2868	14257	103522
NW_022045320	782	5766	4690	184592
NW_022045321	0	885	4296	23692
NW_022045322	3	902	112	58960
NW_022045323	0	219	855	22612
NW_022045324	0	484	1541	21531
NW_022045325	1142	5192	11988	3433
NW_022045326	4863	6733	5315	74967
NW_022045327	3820	929	43440	10211
NW_022045328	2765	2003	11856	96540
NW_022045329	3722	6741	10261	36554
NW_022045330	828	792	7944	20771
NW_022045331	0	0	1612	21660
NW_022045332	0	201	5206	30176
NW_022045333	650	2542	421	48002
NW_022045334	141	2924	1369	50164
NW_022045335	997	1801	640	38481
NW_022045336	0	0	0	1486
NW_022045337	5765	0	122800	6658
NW_022045338	0	0	6679	184388
NW_022045339	143287	71451	603140	860751
NW_022045340	0	0	832	19318
NC_044213	463839	1308799	2034773	146881388
NC_044225	148585	365064	464353	17303480
NC_044223	134418	354746	400992	20122198
NC_044227	110783	319870	570788	13325121
NC_044228	98797	4642	1025369	91125
NC_044238	136683	201157	865417	5655931
NC_044214	436820	1151052	1844161	109796326
NC_044222	243200	427635	1153404	20192772
NC_044236	50785	170788	349231	7095581
NC_044241	183907	802305	1284805	73188689
NW_022045284	0	0	347	0
NW_022045285	0	2450	0	25225
NW_022045286	1775	863	3303	14730
NW_022045287	7570	4214	17757	283637
NW_022045288	0	2274	348	19628
NW_022045289	3013	10163	25612	170109
NW_022045290	1104	562	4333	27163
NW_022045291	1215	2030	6132	30369
NW_022045292	461092	89815	2200786	331296
NW_022045293	98864	22976	607469	149443
NW_022045294	221	2645	1296	45694
NW_022045295	230	2116	4321	41651
NW_022045296	26	4074	5004	65957
NW_022045297	257	1538	662	17939
NW_022045298	0	1114	4446	46170
NW_022045299	1782	3646	6862	360299
NW_022045300	1337	366	5923	46908
NW_022045301	1188	2768	4666	25204
NW_022045302	623	6540	18630	121787
NW_022045303	718	1602	4298	17353
NW_022045304	3200	4352	16591	60170
NW_022045305	766	15778	20757	654625
NW_022045306	109510	56082	736563	685517
NC_044233	189325	257219	963952	7481067
NC_044234	239658	215944	995359	4046328
NC_044231	89931	212287	265488	8013200
NC_044230	116622	267882	391209	10268806
NC_044216	124127	307242	381085	19011859
NC_044237	259728	187308	841520	1733747
NC_044220	141779	457395	505150	31505704
