Type	MissingReadOrGap	MissingNon-ReadOrGap	Non-MissingReadOrGap	Non-MissingNon-ReadOrGap
Genome	79638386	133774224	1616965087	28157874
NC_041728	9129505	14778463	160594923	2003125
NC_041729	8464448	12604487	148604835	2045893
NC_041730	6922136	10124797	123421559	1518590
NC_041731	5955538	8514779	120197707	1426365
NC_041732	5674169	8921366	94281254	1416241
NC_041733	1896476	2655215	46490489	451312
NC_041734	3251409	4817354	74425399	843881
NC_041735	2121360	3408327	64774121	646006
NC_041736	1517336	2409935	57493650	440302
NC_041737	2063319	3356227	53485336	539814
NC_041738	2990429	5055808	54673065	786729
NC_041739	1807969	3683125	54342894	622061
NC_041740	1165798	2222658	38611219	294967
NC_041741	1383284	2019963	49074674	411485
NC_041742	778825	1067790	24321326	207078
NC_041743	1578475	2428400	41885067	505333
NC_041744	1656517	3414703	40006099	459351
NC_041745	1527679	3634540	39102026	420256
NC_041746	762678	1438567	32690664	228632
NC_041747	662847	2454953	27234797	182937
NC_041748	1566409	2690040	19880379	378031
NC_041749	5459718	9869302	107734359	1977535
NC_041750	1378069	2349766	25435755	498516
NC_041751	777317	1273200	31533252	279567
NC_041752	617975	1539000	6211981	270500
NC_041753	3284586	6585388	59091965	1177381
NW_021638003	90252	385285	74861	683602
NW_021638004	285803	1712863	511290	2411169
NW_021638005	99330	909039	86830	1922372
NW_021638006	82379	652083	37129	246409
NW_021638007	59712	469053	3007	46621
NW_021638008	4351	986	15580	336
NW_021638009	1476	1399	19202	0
NW_021638010	38883	273	31985	0
NW_021638011	950	0	20610	0
NW_021638012	5367	3830	44841	675
NW_021638013	4265	6912	17778	779
NW_021638014	704	0	31053	0
NW_021638015	4110	38066	0	5293
NW_021638016	34835	0	19568	0
NW_021638017	3340	3090	27669	1538
NW_021638018	0	17255	0	3062
NW_021638019	6444	0	14381	0
NW_021638020	14732	0	5647	0
NW_021638021	10046	26061	7528	2206
NW_021638022	11303	12266	20031	1856
NW_021638023	1006	690	24474	556
NW_021638024	540	39	32088	499
NW_021638025	9999	99	13841	0
NW_021638026	1621	1277	42890	3435
NW_021638027	727	39306	0	2955
NW_021638028	310	0	26983	0
NW_021638029	5908	7578	31382	2901
NW_021638030	3236	1925	22132	1218
NW_021638031	828	0	21204	124
NW_021638032	2320	1521	28215	1139
NW_021638033	700	419	22516	6
NW_021638034	8662	99	19227	0
NW_021638035	61055	75406	26516	9666
NW_021638036	14246	0	10653	25
NW_021638037	0	23103	0	2659
NW_021638038	2899	3301	25992	1551
NW_021638039	3938	53822	0	892
NW_021638040	249298	232116	737734	61610
NW_021638041	7515	6999	85109	1909
NW_021638042	1895	747	50789	30
NW_021638043	233842	1674434	19679	283285
NW_021638044	7277	0	31432	0
