Type	MissingReadOrGap	MissingNon-ReadOrGap	Non-MissingReadOrGap	Non-MissingNon-ReadOrGap
Genome	83378133	130034477	1619391498	25731463
NC_041728	9562348	14345620	160842990	1755058
NC_041729	8848733	12220202	148840420	1810308
NC_041730	7247163	9799770	123617127	1323022
NC_041731	6232114	8238203	120369347	1254725
NC_041732	5961565	8633970	94458166	1239329
NC_041733	1988859	2562832	46551439	390362
NC_041734	3403829	4664934	74532574	736706
NC_041735	2221819	3307868	64851474	568653
NC_041736	1590540	2336731	57546217	387735
NC_041737	2165558	3253988	53556381	468769
NC_041738	3142987	4903250	54775422	684372
NC_041739	1893159	3597935	54403114	561841
NC_041740	1232052	2156404	38657464	248722
NC_041741	1455348	1947899	49128333	357826
NC_041742	818113	1028502	24348948	179456
NC_041743	1658426	2348449	41945672	444728
NC_041744	1735785	3335435	40060492	404958
NC_041745	1602483	3559736	39157720	364562
NC_041746	804497	1396748	32722700	196596
NC_041747	692567	2425233	27259576	158158
NC_041748	1657667	2598782	19930128	328282
NC_041749	5708469	9620551	107913896	1797998
NC_041750	1447625	2280210	25486671	447600
NC_041751	811325	1239192	31563021	249798
NC_041752	648711	1508264	6232366	250115
NC_041753	3455628	6414346	59199568	1069778
NW_021638003	93380	382157	76339	682124
NW_021638004	295393	1703273	522891	2399568
NW_021638005	103001	905368	87944	1921258
NW_021638006	85687	648775	38415	245123
NW_021638007	61864	466901	3228	46400
NW_021638008	4377	960	15629	287
NW_021638009	1501	1374	19202	0
NW_021638010	38957	199	31985	0
NW_021638011	950	0	20610	0
NW_021638012	5442	3755	44966	550
NW_021638013	4465	6712	17828	729
NW_021638014	704	0	31053	0
NW_021638015	4310	37866	0	5293
NW_021638016	34835	0	19568	0
NW_021638017	3365	3065	27819	1388
NW_021638018	0	17255	0	3062
NW_021638019	6444	0	14381	0
NW_021638020	14732	0	5647	0
NW_021638021	10526	25581	7622	2112
NW_021638022	11862	11707	20194	1693
NW_021638023	1031	665	24499	531
NW_021638024	555	24	32112	475
NW_021638025	10024	74	13841	0
NW_021638026	1630	1268	43006	3319
NW_021638027	727	39306	0	2955
NW_021638028	310	0	26983	0
NW_021638029	6038	7448	31577	2706
NW_021638030	3286	1875	22182	1168
NW_021638031	828	0	21229	99
NW_021638032	2395	1446	28240	1114
NW_021638033	700	419	22516	6
NW_021638034	8687	74	19227	0
NW_021638035	63390	73071	26876	9306
NW_021638036	14246	0	10678	0
NW_021638037	0	23103	0	2659
NW_021638038	3005	3195	26178	1365
NW_021638039	4163	53597	0	892
NW_021638040	256693	224721	741429	57915
NW_021638041	7809	6705	85138	1880
NW_021638042	1905	737	50804	15
NW_021638043	243573	1664703	20590	282374
NW_021638044	7277	0	31432	0
NW_021638045	2123	2743	23870	664
NW_021638046	9154	6706	30096	3823
NW_021638047	285	2293	24966	5910
NW_021638048	175	147	22883	352
NW_021638049	1559	2737	18402	2649
NW_021638050	1662	24591	118	6779
NW_021638051	2320	0	21583	0
NW_021638052	9205	7354	20534	732
NW_021638053	11761	29	11715	0
NW_021638054	714	774	19711	99
NW_021638055	2286	7482	13715	628
NW_021638056	25638	247	7082	0
NW_021638057	5926	66729	9	2683
NW_021638058	10471	11509	15186	1427
NW_021638059	13522	17473	59372	1728
NW_021638060	1152	798	24779	286
NW_021638061	16257	0	17333	0
NW_021638062	112557	250832	1017313	357019
NW_021638063	13974	7044	423346	439121
NW_021638064	3968	1974	43776	256
NW_021638065	7511	52913	0	6267
NW_021638066	308	254	94191	742
NW_021638067	135544	93305	379728	17241
NW_021638068	13927	4271	29389	141
NW_021638069	8408	4900	39891	1665
NW_021638070	1408	424	26404	0
NW_021638071	33689	663	5916	0
NW_021638072	60994	91737	46869	15098
NW_021638073	7390	2559	26219	1152
NW_021638074	11796	49	27984	0
NW_021638075	2232	1705	41051	274
NW_021638076	1477	21790	0	643
NW_021638077	8510	0	32227	0
NW_021638078	914	2457	48743	1210
NW_021638079	278491	366790	3519114	43967
NW_021638080	3280	22337	0	3111
NW_021638081	5946	1355	24641	139
NW_021638082	2883	2094	32452	351
NW_021638083	35720	617	11173	0
NW_021638084	2074	1761	31161	463
NW_021638085	1019	720	53656	651
NW_021638086	26310	54664	23955	5047
NW_021638087	13448	4464	36333	2892
NW_021638088	530	0	59258	24
NW_021638089	3191	13413	20357	202
NW_021638090	19660	0	28259	0
NW_021638091	0	0	25603	0
NW_021638092	4662	1344	31586	0
NW_021638093	19182	398	3930	0
NW_021638094	6561	449	36519	1120
NW_021638095	8958	0	14697	0
NW_021638096	4255	6332	22139	4076
NW_021638097	3831	16735	0	1650
NW_021638098	7568	24	14754	0
NW_021638099	1030	306	20416	1924
NW_021638100	2396	112	44165	736
NW_021638101	3035	2844	33340	148
NW_021638102	1749	1098	46833	0
NW_021638103	3342	4003	18732	1245
NW_021638104	4677	2771	32745	225
NW_021638105	25622	127	1655	0
NW_021638106	4466	6218	12289	346
NW_021638107	1454	68092	0	4311
NW_021638108	1253	16788	0	2202
NW_021638109	7639	1647	24663	0
NW_021638110	14616	35453	38324	3312
NW_021638111	5165	1065	17495	185
NW_021638112	3760	3462	24811	756
NW_021638113	4338	2643	27710	901
NW_021638114	11804	8605	49220	2075
NW_021638115	588	49	24769	0
NW_021638116	63558	31872	636311	9738
NW_021638117	2814	9779	24490	6289
NW_021638118	14313	497	5603	0
NW_021638119	50028	55299	214798	8298
NW_021638120	1959	462	43985	111
NW_021638121	2098	597	56739	443
NW_021638122	2517	673	34821	0
NW_021638123	1903	26597	0	918
NW_021638124	0	0	30793	0
NW_021638125	17803	0	16046	0
NW_021638126	43475	49	40961	0
NW_021638127	7366	4449	43359	1089
NW_021638128	9343	5842	32801	1096
NW_021638129	26310	0	20698	0
NW_021638130	3780	3043	49459	2562
NW_021638131	55753	403	17453	0
NW_021638132	26330	50	48170	0
NW_021638133	17539	20	6562	0
NW_021638134	9571	0	31051	0
NW_021638135	0	0	22046	0
NW_021638136	3898	48869	10	1562
NW_021638137	30	0	26792	0
NW_021638138	13488	0	22063	0
NW_021638139	157980	10983	68265	491
NW_021638140	8959	9364	10518	1714
NW_021638141	1271	0	21462	0
NW_021638142	15273	0	40201	0
NW_021638143	19022	247	5037	0
NW_021638144	13028	30588	6930	5301
NW_021638145	951	20186	0	3004
NW_021638146	8350	11817	147579	6926
NW_021638147	20623	0	18636	0
NW_021638148	2498	1141	18860	1783
NW_021638149	12777	0	19701	0
NW_021638150	1649	175	28879	93
NW_021638151	7641	8297	18495	614
NW_021638152	4961	399	20066	0
NW_021638153	11	0	24920	0
NW_021638154	3671	0	22595	0
NW_021638155	10335	11043	24183	1765
NW_021638156	1828	3177	31428	1141
NW_021638157	349	0	20168	24
