Type	CpGislandMissing	CpGislandNon-Missing	Non-CpGislandMissing	Non-CpGislandNon-Missing
Genome	7771562	5322701	29719499	1016873497
NC_044264	130176	91078	212893	10731856
NC_044271	82854	58848	172049	5992981
NC_044269	50455	54393	202174	6154062
NC_044274	443242	207413	1419261	72011088
NC_044250	131095	107351	269263	16138176
NC_044273	137204	88706	251714	5236363
NC_044275	78717	30612	162221	1616590
NC_044257	172639	131939	274647	19723124
NC_044256	230986	148988	497937	21786479
NC_044245	736825	541209	1892243	148171862
NC_044254	226795	179818	411344	30272191
NC_044244	975244	712384	2596931	193266451
NC_044272	116969	71884	400288	5159934
NC_044265	164643	115230	254974	14582028
NC_044266	87898	67237	136400	7418520
NW_022045534	29813	16241	78022	819979
NW_022045535	1267	1529	16325	341989
NW_022045536	2700	1295	18913	70423
NW_022045537	861	39	2138	54251
NW_022045538	6687	1724	36438	28529
NW_022045539	1124	0	69736	4934
NW_022045540	2993	583	63313	12609
NW_022045541	473	0	5918	20305
NW_022045542	665	0	32802	561
NW_022045543	0	0	28629	15646
NC_044255	201956	150931	344747	24988822
NC_044248	244281	184913	535665	43780485
NC_044261	168708	132924	212671	13372861
NC_044268	99905	76920	185102	6061976
NC_044263	144146	101504	261680	11110390
NC_044247	151950	116718	178664	18149785
NC_044246	617616	462826	1334235	112396322
NC_044253	235736	188568	502491	38212419
NC_044249	162447	114044	431504	22583950
NC_044262	113035	90199	106401	10164020
NC_044259	232772	158421	251037	17053885
NC_044267	59965	40952	290575	4806643
NC_044252	222686	189505	367229	34622538
NC_044258	171593	128237	189484	20863186
NC_044270	87071	34345	203131	1837364
NC_044251	311146	221490	802310	42545900
NC_044276	363117	95272	10305677	15684711
NW_022045418	39938	30568	15782	3103
NW_022045419	670	860	10241	15649
NW_022045420	938	975	11896	74482
NW_022045421	0	0	13744	38549
NW_022045422	2377	599	89347	24738
NW_022045423	2107	1027	11292	77587
NW_022045424	1896	0	51703	5028
NW_022045425	0	1275	12053	34388
NW_022045426	0	0	229	50521
NW_022045427	0	0	4585	16980
NW_022045428	0	0	2056	47404
NW_022045429	319	21	25454	15377
NW_022045430	1352	217	18673	7349
NW_022045431	257	0	31888	2988
NW_022045432	0	0	16198	4244
NW_022045433	4004	3235	21103	5347
NW_022045434	1534	0	18368	1300
NW_022045435	2245	205	65053	10459
NW_022045436	2139	0	34847	2200
NW_022045437	0	0	8850	12774
NW_022045438	1036	301	16509	7336
NW_022045439	611	0	13861	19577
NW_022045440	272	0	41085	10276
NW_022045441	1815	456	2249	17222
NW_022045442	364	173	835	21119
NW_022045443	1994	182	63680	5501
NW_022045444	0	0	21800	756
NW_022045445	0	0	22805	9065
NW_022045446	5001	711	24384	19598
NW_022045447	0	280	25732	90231
NW_022045448	0	0	2426	101027
NW_022045449	4454	4202	528063	229674
NW_022045450	6303	156	52398	19838
NW_022045451	1803	1388	16188	73775
NW_022045452	0	0	14	28856
NW_022045453	2157	114	18434	64294
NW_022045454	0	0	1916	19995
NW_022045455	973	443	6964	81957
NW_022045456	0	0	4363	16845
NW_022045457	1284	120	33516	5310
NW_022045458	0	0	10076	28207
NW_022045459	3215	1202	3212	20963
NW_022045460	1531	0	35475	3382
NW_022045461	1168	395	1041	56065
NW_022045462	0	0	61	40473
NW_022045463	2782	1452	9127	51882
NW_022045464	0	263	3839	16993
NW_022045465	406	558	30058	4207
NW_022045466	304	0	11149	8945
NW_022045467	158	42	19333	2767
NW_022045468	0	0	19144	1426
NW_022045469	5390	1038	344973	81715
NW_022045470	0	0	2719	38399
NW_022045471	166	1047	11521	41090
NW_022045472	1501	675	2372	45046
NW_022045473	256	0	35737	10008
NW_022045474	253	0	2186	21679
NW_022045475	1062	0	9330	43168
NW_022045476	743	0	28698	3261
NW_022045477	1666	456	6168	15017
NW_022045478	0	0	19865	8000
NW_022045479	0	0	13040	39866
NW_022045480	2	267	19226	12671
NW_022045481	2591	88	31029	12089
NW_022045482	8309	1343	219371	20296
NW_022045483	5740	3775	121045	177728
NW_022045484	627	0	4153	46380
NW_022045485	2463	268	9514	31920
NW_022045486	464	824	29169	5174
NW_022045487	556	552	6135	26128
NW_022045488	293	0	35333	8792
NW_022045489	0	0	14615	6006
NW_022045490	1255	0	42517	11413
NW_022045491	1149	423	26178	7277
NW_022045492	0	0	22209	10984
NW_022045493	894	0	43767	3110
NW_022045494	0	0	13400	7747
NW_022045495	0	250	12686	74008
NW_022045496	2713	136	18088	514
NW_022045497	5077	0	69963	5042
NW_022045498	1703	1472	15447	26315
NW_022045499	0	0	20861	1039
NW_022045500	2129	488	14053	47847
NW_022045501	0	0	17451	54745
NW_022045502	3621	1626	48042	61577
NW_022045503	6858	1443	8750	133089
NW_022045504	973	0	40897	2621
NW_022045505	236	0	4541	0
NW_022045506	388	0	17991	4394
NW_022045507	968	427	12192	18262
NW_022045508	2424	32	22595	4866
NW_022045509	0	0	2794	20832
NW_022045510	4517	3755	9574	10857
NW_022045511	712	641	3423	29249
NW_022045512	252	316	13663	81714
NW_022045513	1395	1749	7466	52887
NW_022045514	258	0	2013	49265
NW_022045515	0	0	6926	10033
NW_022045516	2135	475	23216	2848
NW_022045517	115	169	14034	29794
NW_022045518	1238	112	39143	6881
NW_022045519	209	310	3002	43053
NW_022045520	57	410	9375	20155
NW_022045521	1814	289	29853	7153
NW_022045522	215	0	17422	4887
NW_022045523	862	629	15214	56932
NW_022045524	1180	0	64902	32304
NW_022045525	0	0	129	35065
NW_022045526	7739	3531	186675	288699
NW_022045527	429	0	16099	48122
NW_022045528	1073	396	63117	32971
NW_022045529	0	0	21245	201310
NW_022045530	4614	1708	14146	172402
NW_022045531	0	0	1938	35058
NW_022045532	255	0	18068	6150
NW_022045533	0	0	2992	23335
NC_044260	182161	123891	182968	15008041
