Type	RepeatMissing	RepeatNon-Missing	Non-RepeatMissing	Non-RepeatNon-Missing
Genome	18976005	194591075	18515056	827605123
NC_044264	107862	1856882	235207	8966052
NC_044271	88718	1137988	166185	4913841
NC_044269	88127	1147140	164502	5061315
NC_044274	1055359	14130362	807144	58088139
NC_044250	138748	2818531	261610	13426996
NC_044273	111912	1023212	277006	4301857
NC_044275	63710	266119	177228	1381083
NC_044257	166778	3529389	280508	16325674
NC_044256	229876	3632676	499047	18302791
NC_044245	1425519	29196770	1203549	119516301
NC_044254	308926	5593281	329213	24858728
NC_044244	2047896	38358821	1524279	155620014
NC_044272	172421	991225	344836	4240593
NC_044265	150361	2592737	269256	12104521
NC_044266	87645	1397846	136653	6087911
NW_022045534	40434	207650	67401	628570
NW_022045535	11368	76025	6224	267493
NW_022045536	12551	27420	9062	44298
NW_022045537	1715	13188	1284	41102
NW_022045538	13196	8996	29929	21257
NW_022045539	40717	1777	30143	3157
NW_022045540	19403	2038	46903	11154
NW_022045541	2889	5378	3502	14927
NW_022045542	15383	71	18084	490
NW_022045543	11525	6944	17104	8702
NC_044255	253176	4374363	293527	20765390
NC_044248	452502	8620967	327444	35344431
NC_044261	128066	2289608	253313	11216177
NC_044268	100007	1222283	185000	4916613
NC_044263	132885	2002631	272941	9209263
NC_044247	130725	3252671	199889	15013832
NC_044246	1066853	21894542	884998	90964606
NC_044253	370353	7033268	367874	31367719
NC_044249	278784	4416026	315167	18281968
NC_044262	65669	1769744	153767	8484475
NC_044259	152415	3003814	331394	14208492
NC_044267	147169	904269	203371	3943326
NC_044252	263798	6329262	326117	28482781
NC_044258	119688	3435511	241389	17555912
NC_044270	83770	368515	206432	1503194
NC_044251	604661	8262023	508795	34505367
NC_044276	6204932	3474737	4463862	12305246
NW_022045418	15623	3147	40097	30524
NW_022045419	4754	5869	6157	10640
NW_022045420	6389	24437	6445	51020
NW_022045421	6966	19362	6778	19187
NW_022045422	43354	9396	48370	15941
NW_022045423	6016	24533	7383	54081
NW_022045424	26271	1998	27328	3030
NW_022045425	3326	7141	8727	28522
NW_022045426	28	7281	201	43240
NW_022045427	3818	7394	767	9586
NW_022045428	2021	14006	35	33398
NW_022045429	9360	3850	16413	11548
NW_022045430	9006	1463	11019	6103
NW_022045431	18931	1394	13214	1594
NW_022045432	3183	1051	13015	3193
NW_022045433	11779	3658	13328	4924
NW_022045434	10062	851	9840	449
NW_022045435	40681	4361	26617	6303
NW_022045436	13492	875	23494	1325
NW_022045437	3838	3209	5012	9565
NW_022045438	7868	4543	9677	3094
NW_022045439	3046	3314	11426	16263
NW_022045440	26625	4541	14732	5735
NW_022045441	1620	5245	2444	12433
NW_022045442	280	4351	919	16941
NW_022045443	25603	796	40071	4887
NW_022045444	4202	63	17598	693
NW_022045445	13795	2743	9010	6322
NW_022045446	8677	3437	20708	16872
