Type	MissingRead	MissingNon-Read	Non-MissingRead	Non-MissingNon-Read
Genome	31052110	182360500	1540413225	104709736
NC_041728	3381037	20526931	152258901	10339147
NC_041729	3254275	17814660	140799355	9851373
NC_041730	2680948	14365985	117042997	7897152
NC_041731	2268194	12202123	114530597	7093475
NC_041732	1959206	12636329	88567292	7130203
NC_041733	755443	3796248	44594131	2347670
NC_041734	1211090	6857673	70936376	4332904
NC_041735	742001	4787686	62455311	2964816
NC_041736	596415	3330856	55849132	2084820
NC_041737	806588	4612958	51359874	2665276
NC_041738	1014675	7031562	51532607	3927187
NC_041739	738043	4753051	52440991	2523964
NC_041740	431624	2956832	37264707	1641479
NC_041741	479380	2923867	47453946	2032213
NC_041742	324940	1521675	23494641	1033763
NC_041743	575378	3431497	40075451	2314949
NC_041744	652257	4418963	38352419	2113031
NC_041745	538801	4623418	37401107	2121175
NC_041746	294885	1906360	31714780	1204516
NC_041747	252482	2865318	26488672	929062
NC_041748	486489	3769960	18323153	1935257
NC_041749	2026697	13302323	101940122	7771772
NC_041750	450103	3277732	23911850	2022421
NC_041751	291078	1759439	30614371	1198448
NC_041752	247345	1909630	5631864	850617
NC_041753	1204354	8665620	55704744	4564602
NW_021638003	49460	426077	44998	713465
NW_021638004	177496	1821170	338493	2583966
NW_021638005	52771	955598	61384	1947818
NW_021638006	48364	686098	8671	274867
NW_021638007	39221	489544	1645	47983
NW_021638008	3442	1895	15189	727
NW_021638009	665	2210	19040	162
NW_021638010	37986	1170	31985	0
NW_021638011	851	99	20610	0
NW_021638012	3008	6189	43329	2187
NW_021638013	1979	9198	16990	1567
NW_021638014	704	0	31053	0
NW_021638015	1956	40220	0	5293
NW_021638016	34835	0	19568	0
NW_021638017	2044	4386	25499	3708
NW_021638018	0	17255	0	3062
NW_021638019	6444	0	14357	24
NW_021638020	14732	0	5647	0
NW_021638021	2473	33634	4766	4968
NW_021638022	5677	17892	15881	6006
NW_021638023	607	1089	23377	1653
NW_021638024	414	165	30518	2069
NW_021638025	9849	249	13841	0
NW_021638026	1488	1410	42164	4161
NW_021638027	226	39807	0	2955
NW_021638028	310	0	26983	0
NW_021638029	4328	9158	28841	5442
NW_021638030	1707	3454	19463	3887
NW_021638031	828	0	20407	921
NW_021638032	666	3175	27093	2261
NW_021638033	637	482	22505	17
NW_021638034	8613	148	19227	0
NW_021638035	28881	107580	17101	19081
NW_021638036	14246	0	10628	50
NW_021638037	0	23103	0	2659
NW_021638038	1546	4654	23070	4473
NW_021638039	1105	56655	0	892
NW_021638040	146299	335115	664308	135036
NW_021638041	4318	10196	83430	3588
NW_021638042	1474	1168	50366	453
NW_021638043	132577	1775699	9031	293933
NW_021638044	7277	0	31432	0
NW_021638045	1126	3740	17746	6788
NW_021638046	4744	11116	26612	7307
