Type	MissingReadAndGap	MissingNon-ReadAndGap	Non-MissingReadAndGap	Non-MissingNon-ReadAndGap
Genome	3368679	210043931	52324567	1592798394
NC_041728	390316	23517652	5223933	157374115
NC_041729	401634	20667301	4407352	146243376
NC_041730	306732	16740201	4627776	120312373
NC_041731	253135	14217182	4364728	117259344
NC_041732	228455	14367080	4069369	91628126
NC_041733	89927	4461764	1682968	45258833
NC_041734	177383	7891380	1905434	73363846
NC_041735	142114	5387573	1049747	64370380
NC_041736	60479	3866792	1564952	56369000
NC_041737	84515	5335031	1853360	52171790
NC_041738	133352	7912885	2061447	53398347
NC_041739	78004	5413090	1754563	53210392
NC_041740	38187	3350269	1529817	37376369
NC_041741	70365	3332882	1491162	47994997
NC_041742	35838	1810777	700508	23827896
NC_041743	68956	3937919	1415723	40974677
NC_041744	47643	5023577	1521382	38944068
NC_041745	89100	5073119	903218	38619064
NC_041746	28645	2172600	1140287	31779009
NC_041747	55988	3061812	214586	27203148
NC_041748	60219	4196230	936876	19321534
NC_041749	252831	15076189	2590135	107121759
NC_041750	59235	3668600	849437	25084834
NC_041751	57170	1993347	342202	31470617
NC_041752	17138	2139837	312655	6169826
NC_041753	107242	9762732	2786582	57482764
NW_021638003	89	475448	1052	757411
NW_021638004	1071	1997595	1760	2920699
NW_021638005	183	1008186	2181	2007021
NW_021638006	9	734453	1019	282519
NW_021638007	0	528765	0	49628
NW_021638008	10	5327	756	15160
NW_021638009	0	2875	0	19202
NW_021638010	0	39156	0	31985
NW_021638011	0	950	2	20608
NW_021638012	0	9197	1557	43959
NW_021638013	99	11078	0	18557
NW_021638014	0	704	173	30880
NW_021638015	0	42176	0	5293
NW_021638016	0	34835	0	19568
NW_021638017	0	6430	4496	24711
NW_021638018	0	17255	0	3062
NW_021638019	0	6444	0	14381
NW_021638020	0	14732	0	5647
NW_021638021	0	36107	0	9734
NW_021638022	23	23546	5	21882
NW_021638023	0	1696	214	24816
NW_021638024	0	579	74	32513
NW_021638025	0	10098	0	13841
NW_021638026	64	2834	3026	43299
NW_021638027	0	40033	0	2955
NW_021638028	0	310	2841	24142
NW_021638029	0	13486	64	34219
NW_021638030	0	5161	0	23350
NW_021638031	0	828	2788	18540
NW_021638032	33	3808	3391	25963
NW_021638033	0	1119	5797	16725
NW_021638034	0	8761	0	19227
NW_021638035	21	136440	298	35884
NW_021638036	0	14246	0	10678
NW_021638037	0	23103	0	2659
NW_021638038	8	6192	2275	25268
NW_021638039	0	57760	0	892
NW_021638040	280	481134	22897	776447
NW_021638041	0	14514	1870	85148
NW_021638042	182	2460	3887	46932
NW_021638043	0	1908276	0	302964
NW_021638044	0	7277	0	31432
NW_021638045	0	4866	3590	20944
NW_021638046	0	15860	20	33899
NW_021638047	0	2578	2539	28337
NW_021638048	0	322	799	22436
NW_021638049	0	4296	0	21051
NW_021638050	0	26253	0	6897
NW_021638051	0	2320	1488	20095
NW_021638052	0	16559	30	21236
NW_021638053	0	11790	0	11715
NW_021638054	0	1488	1847	17963
NW_021638055	183	9585	175	14168
NW_021638056	0	25885	0	7082
NW_021638057	0	72655	0	2692
NW_021638058	0	21980	0	16613
NW_021638059	0	30995	568	60532
NW_021638060	0	1950	2687	22378
NW_021638061	0	16257	0	17333
NW_021638062	803	362586	46617	1327715
NW_021638063	42	20976	46058	816409
NW_021638064	388	5554	0	44032
NW_021638065	0	60424	0	6267
NW_021638066	0	562	12133	82800
NW_021638067	670	228179	25909	371060
NW_021638068	0	18198	333	29197
NW_021638069	0	13308	1446	40110
NW_021638070	0	1832	2598	23806
NW_021638071	0	34352	0	5916
NW_021638072	147	152584	5	61962
NW_021638073	0	9949	1308	26063
NW_021638074	80	11765	1059	26925
NW_021638075	270	3667	3188	38137
NW_021638076	0	23267	0	643
NW_021638077	0	8510	0	32227
NW_021638078	1	3370	5595	44358
NW_021638079	13728	631553	182222	3380859
NW_021638080	0	25617	0	3111
NW_021638081	0	7301	10	24770
NW_021638082	0	4977	6283	26520
NW_021638083	0	36337	0	11173
NW_021638084	74	3761	50	31574
NW_021638085	0	1739	1604	52703
NW_021638086	79	80895	424	28578
NW_021638087	104	17808	1649	37576
NW_021638088	0	530	5365	53917
NW_021638089	193	16411	2910	17649
NW_021638090	0	19660	730	27529
NW_021638091	0	0	796	24807
NW_021638092	1	6005	4249	27337
NW_021638093	0	19580	0	3930
NW_021638094	0	7010	5375	32264
NW_021638095	0	8958	0	14697
NW_021638096	0	10587	0	26215
NW_021638097	0	20566	0	1650
NW_021638098	0	7592	0	14754
NW_021638099	0	1336	351	21989
NW_021638100	2	2506	4848	40053
NW_021638101	189	5690	28	33460
NW_021638102	0	2847	1702	45131
NW_021638103	0	7345	62	19915
NW_021638104	91	7357	4085	28885
NW_021638105	0	25749	0	1655
NW_021638106	0	10684	0	12635
NW_021638107	0	69546	0	4311
NW_021638108	0	18041	0	2202
NW_021638109	0	9286	0	24663
NW_021638110	0	50069	1243	40393
NW_021638111	74	6156	78	17602
NW_021638112	52	7170	2631	22936
NW_021638113	0	6981	1648	26963
NW_021638114	0	20409	538	50757
NW_021638115	0	637	1753	23016
