Type	CpGislandMissing	CpGislandNon-Missing	Non-CpGislandMissing	Non-CpGislandNon-Missing
Genome	31433172	81264288	181979438	1563858673
NC_041728	2865689	5716255	21042279	156881793
NC_041729	2502316	5199353	18566619	145451375
NC_041730	2419490	5056708	14627443	119883441
NC_041731	1625140	3830686	12845177	117793386
NC_041732	1932161	4180152	12663374	91517343
NC_041733	968835	2449092	3582856	44492709
NC_041734	1113178	3437291	6955585	71831989
NC_041735	702358	2439676	4827329	62980451
NC_041736	529132	2487909	3398139	55446043
NC_041737	1091210	2709660	4328336	51315490
NC_041738	1241913	3361513	6804324	52098281
NC_041739	629234	2293554	4861860	52671401
NC_041740	1008714	3221238	2379742	35684948
NC_041741	608941	2579054	2794306	46907105
NC_041742	514091	2740173	1332524	21788231
NC_041743	772350	2766907	3234525	39623493
NC_041744	777618	2808160	4293602	37657290
NC_041745	836536	2754847	4325683	36767435
NC_041746	434064	2100200	1767181	30819096
NC_041747	372752	2016772	2745048	25400962
NC_041748	1354933	2960267	2901516	17298143
NC_041749	1587467	3304370	13741553	106407524
NC_041750	645454	2001238	3082381	23933033
NC_041751	398810	1492564	1651707	30320255
NC_041752	332949	1030746	1824026	5451735
NC_041753	1928096	3486189	7941878	56783157
NW_021638003	30145	16984	445392	741479
NW_021638004	84207	27099	1914459	2895360
NW_021638005	52433	32769	955936	1976433
NW_021638006	34480	4379	699982	279159
NW_021638007	50967	1696	477798	47932
NW_021638008	0	0	5337	15916
NW_021638009	554	550	2321	18652
NW_021638010	35648	23655	3508	8330
NW_021638011	87	1764	863	18846
NW_021638012	3169	1393	6028	44123
NW_021638013	1934	0	9243	18557
NW_021638014	459	14481	245	16572
NW_021638015	2127	0	40049	5293
NW_021638016	24031	14457	10804	5111
NW_021638017	449	517	5981	28690
NW_021638018	225	0	17030	3062
NW_021638019	5672	10082	772	4299
NW_021638020	12445	3854	2287	1793
NW_021638021	0	0	36107	9734
NW_021638022	10776	9625	12793	12262
NW_021638023	0	0	1696	25030
NW_021638024	0	783	579	31804
NW_021638025	7535	11185	2563	2656
NW_021638026	809	1003	2089	45322
NW_021638027	340	0	39693	2955
NW_021638028	167	1983	143	25000
NW_021638029	257	562	13229	33721
NW_021638030	314	117	4847	23233
NW_021638031	421	1756	407	19572
NW_021638032	1401	1505	2440	27849
NW_021638033	235	1288	884	21234
NW_021638034	7463	14864	1298	4363
NW_021638035	505	232	135956	35950
NW_021638036	11757	8672	2489	2006
NW_021638037	2132	0	20971	2659
NW_021638038	348	524	5852	27019
NW_021638039	47944	892	9816	0
NW_021638040	23237	15487	458177	783857
NW_021638041	3982	2344	10532	84674
NW_021638042	202	210	2440	50609
NW_021638043	83600	3633	1824676	299331
NW_021638044	5344	22562	1933	8870
NW_021638045	548	463	4318	24071
NW_021638046	76	517	15784	33402
NW_021638047	0	0	2578	30876
NW_021638048	81	452	241	22783
NW_021638049	199	762	4097	20289
NW_021638050	266	0	25987	6897
NW_021638051	831	2983	1489	18600
NW_021638052	0	0	16559	21266
NW_021638053	9234	9333	2556	2382
NW_021638054	348	0	1140	19810
NW_021638055	215	1442	9553	12901
NW_021638056	21424	4649	4461	2433
NW_021638057	766	0	71889	2692
NW_021638058	576	0	21404	16613
NW_021638059	2636	663	28359	60437
NW_021638060	485	445	1465	24620
NW_021638061	13170	13851	3087	3482
NW_021638062	16716	11593	346673	1362739
NW_021638063	1391	5405	19627	857062
NW_021638064	3347	28085	2595	15947
NW_021638065	2989	0	57435	6267
NW_021638066	0	2308	562	92625
NW_021638067	8117	4518	220732	392451
NW_021638068	0	334	18198	29196
NW_021638069	276	441	13032	41115
NW_021638070	801	442	1031	25962
NW_021638071	32011	5575	2341	341
NW_021638072	1009	1571	151722	60396
NW_021638073	1947	1053	8002	26318
NW_021638074	7647	18521	4198	9463
NW_021638075	496	1575	3441	39750
NW_021638076	966	0	22301	643
NW_021638077	7502	25836	1008	6391
NW_021638078	89	729	3282	49224
NW_021638079	345546	1130398	299735	2432683
NW_021638080	658	0	24959	3111
NW_021638081	401	792	6900	23988
NW_021638082	1032	2366	3945	30437
NW_021638083	23374	8135	12963	3038
NW_021638084	3295	25401	540	6223
NW_021638085	5	19163	1734	35144
NW_021638086	149	67	80825	28935
NW_021638087	230	204	17682	39021
NW_021638088	201	2332	329	56950
NW_021638089	10825	12367	5779	8192
NW_021638090	15365	20600	4295	7659
NW_021638091	0	2682	0	22921
NW_021638092	1262	2287	4744	29299
NW_021638093	16837	3327	2743	603
NW_021638094	2432	1147	4578	36492
NW_021638095	7892	12768	1066	1929
NW_021638096	0	0	10587	26215
NW_021638097	2058	0	18508	1650
NW_021638098	5918	10607	1674	4147
NW_021638099	0	274	1336	22066
NW_021638100	428	864	2080	44037
NW_021638101	4850	20368	1029	13120
NW_021638102	1811	4765	1036	42068
NW_021638103	1637	51	5708	19926
NW_021638104	2402	1271	5046	31699
NW_021638105	21170	1483	4579	172
NW_021638106	481	0	10203	12635
NW_021638107	0	0	69546	4311
NW_021638108	600	0	17441	2202
NW_021638109	2298	2053	6988	22610
NW_021638110	1645	223	48424	41413
NW_021638111	3602	4361	2628	13319
NW_021638112	6687	23441	535	2126
NW_021638113	2424	355	4557	28256
NW_021638114	2231	2380	18178	48915
NW_021638115	0	0	637	24769
NW_021638116	15502	7647	79928	638402
NW_021638117	4682	8288	7911	22491
NW_021638118	12204	3925	2606	1678
NW_021638119	9928	9715	95399	213381
NW_021638120	471	1844	1950	42252
NW_021638121	1004	2222	1691	54960
NW_021638122	1554	932	1636	33889
NW_021638123	1376	0	27124	918
NW_021638124	0	1942	0	28851
NW_021638125	13821	12822	3982	3224
NW_021638126	34828	32702	8696	8259
NW_021638127	1850	1301	9965	43147
NW_021638128	430	221	14755	33676
NW_021638129	23125	16268	3185	4430
NW_021638130	797	1042	6026	50979
NW_021638131	50256	14771	5900	2682
NW_021638132	19678	37862	6702	10308
NW_021638133	14102	3867	3457	2695
NW_021638134	8645	24866	926	6185
NW_021638135	0	0	0	22046
NW_021638136	575	0	52192	1572
NW_021638137	22	12687	8	14105
NW_021638138	8963	15434	4525	6629
NW_021638139	119852	45955	49111	22801
NW_021638140	12332	7807	5991	4425
NW_021638141	770	15891	501	5571
NW_021638142	12663	31625	2610	8576
NW_021638143	13881	3557	5388	1480
NW_021638144	695	0	42921	12231
NW_021638145	274	0	20863	3004
NW_021638146	0	1376	20167	153129
NW_021638147	16051	16381	4572	2255
NW_021638148	898	1160	2741	19483
NW_021638149	9431	15508	3346	4193
NW_021638150	400	771	1424	28201
NW_021638151	557	0	15381	19109
NW_021638152	3531	12779	1829	7287
NW_021638153	0	203	11	24717
NW_021638154	3431	18341	240	4254
NW_021638155	632	434	20746	25514
NW_021638156	1571	350	3434	32219
NW_021638157	187	546	162	19646
NW_021638158	1888	854	33590	14553
NW_021638159	0	0	12029	14806
NW_021638160	837	36	30544	34725
NW_021638161	4055	17483	42623	395633
NW_021638162	13171	12197	3885	2724
NW_021638163	605	800	3908	36162
NW_021638164	294	313	5214	36205
NW_021638165	0	0	15541	24969
NW_021638166	0	0	29042	33574
NW_021638167	3850	13959	1674	5256
NW_021638168	428	223	21804	27123
NW_021638169	1826	1114	47078	31137
NW_021638170	21017	1176	12482	2092
NW_021638171	2849	972	17501	31371
NW_021638172	7141	3431	72329	338263
NW_021638173	8842	14820	2206	3686
NW_021638174	9015	13450	2379	1912
NW_021638175	7041	7638	2522	3629
NW_021638176	32383	12440	7151	4987
NW_021638177	0	0	3447	29259
NW_021638178	591	0	13893	0
NW_021638179	1675	0	19044	904
NW_021638180	2010	4255	2331	40923
NW_021638181	0	0	11074	17989
NW_021638182	0	0	927	45630
NW_021638183	808	0	24544	3282
NW_021638184	18975	8997	4938	2063
NW_021638185	0	0	1302	27772
NW_021638186	2	1856	731	24608
NW_021638187	5	305	7999	45127
NW_021638188	0	638	13201	23010
NW_021638189	0	0	11845	16826
NW_021638190	0	0	756	21512
NW_021638191	8253	1171	10459	1696
NW_021638192	0	751	0	34787
NW_021638193	6960	22196	284	4415
NW_021638194	12819	22673	3870	8178
NW_021638195	0	233	15483	18103
NW_021638196	25130	8916	8827	3209
NW_021638197	1096	926	1422	19312
NW_021638198	0	0	2250	44985
NW_021638199	0	0	6590	5543
NW_021638200	1085	1171	10173	13018
NW_021638201	2453	3653	7413	14501
NW_021638202	2231	9326	6279	13936
NW_021638203	1139	13956	22745	182886
NW_021638204	1125	5326	2210	41779
NW_021638205	3195	2169	11160	35338
NW_021638206	0	0	16905	10256
NW_021638207	487	10	5669	79143
NW_021638208	319	0	18959	2958
NW_021638209	1722	5901	7946	30269
NW_021638210	6283	11807	5288	20008
NW_021638211	15114	14997	6366	7545
NW_021638212	887	521	6651	25358
NW_021638213	263	1430	1005	22110
NW_021638214	10234	9363	4189	4267
NW_021638215	551	328	791	29785
NW_021638216	20486	3764	7947	1169
NW_021638217	2155	356	11892	19342
NW_021638218	324	969	11684	43874
NW_021638219	2058	24678	183	5344
NW_021638220	481	21533	102	8802
NW_021638221	2223	2095	44973	179366
NW_021638222	4424	16347	7888	8386
NW_021638223	8159	25644	1401	6058
NW_021638224	0	865	1296	53441
NW_021638225	3801	2309	137566	682429
NW_021638226	518	480	1693	25014
NW_021638227	1662	0	40946	1127
NW_021638228	5402	22442	1332	6037
NW_021638229	2078	1341	37229	114005
NW_021638230	606	0	102385	6085
NW_021638231	18484	13888	4338	3087
NW_021638232	12	621	1262	30959
NW_021638233	298	293	38162	15434
NW_021638234	9188	6936	2206	2818
NW_021638235	0	0	27923	875
NW_021638236	0	0	13207	16576
NW_021638237	5139	13074	1109	4609
NW_021638238	0	239	14940	11137
NW_021638239	5072	16724	1675	5036
NW_021638240	0	0	1033	20734
NW_021638241	2824	13434	472	5664
NW_021638242	4049	4050	118432	293241
NW_021638243	3989	13028	117296	184509
NW_021638244	7957	12204	1616	3286
NW_021638245	1184	0	31424	3037
NW_021638246	10531	10575	3760	6019
NW_021638247	13881	18722	3383	10714
NW_021638248	2016	752	4557	23735
NW_021638249	0	0	100	11124
NW_021638250	0	1228	119	28476
NW_021638251	0	0	860	24800
NW_021638252	1790	731	1859	21293
NW_021638253	1380	2339	44388	129563
NW_021638254	1402	234	102271	67159
NW_021638255	0	254	5	23509
NW_021638256	14522	1137	4051	638
NW_021638257	2025	2025	19933	124119
NW_021638258	115	184	1591	21626
NW_021638259	8668	16292	2662	3390
NW_021638260	4767	14229	2703	4282
NW_021638261	3502	0	21145	3374
NW_021638262	9367	7788	2332	1042
NW_021638263	414	455	12861	37165
NW_021638264	24536	3532	10027	2191
NW_021638265	1402	2398	6778	31698
NW_021638266	0	808	619	21903
NW_021638267	335	0	38405	639
NW_021638268	6	661	357	38053
NW_021638269	13527	8162	228017	816744
NW_021638270	8059	22490	12205	409041
NW_021638271	63203	25872	832274	2068314
NW_021638272	16982	8583	452405	919522
NW_021638273	8751	10302	8538	12289
NW_021638274	0	0	9164	31752
NW_021638275	256	0	914	35275
NW_021638276	26492	33025	113030	570545
NW_021638277	0	0	10579	21501
NW_021638278	52307	64485	521960	1472353
NW_021638279	734	14932	151	4988
NW_021638280	869	397	16031	11254
