Type	RepeatMissing	RepeatNon-Missing	Non-RepeatMissing	Non-RepeatNon-Missing
Genome	23451008	192475548	26993591	815075133
NC_044224	99218	3699085	256341	16381008
NC_044218	196979	6376133	446625	28645297
NC_044235	258974	1579904	495118	4495926
NC_044217	331108	11102336	695404	49876518
NC_044212	279443	12576494	539896	57034770
NC_044243	3021631	423968	1891728	730823
NC_044242	736241	784253	1013128	1676640
NC_044226	201324	3122296	427661	12922186
NC_044229	141126	2430431	311605	8804040
NC_044240	323854	1297688	638187	3834879
NC_044215	507289	13018351	855542	57171736
NW_022045357	1075269	38325	415619	27729
NW_022045358	23610	0	4874	0
NW_022045359	90528	296935	151552	1044991
NW_022045360	1147	9154	851	21656
NW_022045361	767	7652	3975	23252
NW_022045362	315314	69142	277533	74819
NW_022045363	380	15046	982	29159
NW_022045364	10	4935	16	15823
NW_022045365	86	9106	347	14498
NW_022045366	3488	14175	3598	37428
NW_022045367	269	9127	584	18891
NW_022045368	655	4437	856	16568
NW_022045369	51	8313	204	25487
NW_022045370	2377	15482	1645	50312
NW_022045371	778	8290	1657	25941
NW_022045372	13238	18682	6124	47859
NW_022045373	966	43982	6232	138541
NW_022045374	461129	125022	156107	100426
NW_022045375	1	6265	16	36701
NW_022045376	667	11188	200	25096
NW_022045377	30372	83203	12653	26028
NW_022045378	47637	9471	37671	9916
NW_022045379	120983	91696	113488	169168
NW_022045380	866	14400	706	33963
NW_022045381	386	6582	474	13771
NW_022045382	1522	6563	2024	17079
NW_022045383	135	9616	605	27741
NW_022045384	262	9714	1013	20749
NC_044232	173194	3078749	431820	11995004
NC_044219	198085	6707515	423416	30730998
NC_044239	352863	1083194	679651	3310889
NC_044221	164094	4607415	376940	20427216
NC_044211	605535	21523830	991148	91436902
NW_022045341	1460630	179120	907872	363741
NW_022045342	227	18395	100	97161
NW_022045343	1872	8716	3068	26203
NW_022045344	3052	41818	3755	82629
NW_022045345	263	5894	945	21457
NW_022045346	1124	8695	603	14839
NW_022045347	2925	17552	3899	33495
NW_022045348	8	10919	16	21078
NW_022045349	139616	24221	69268	7906
NW_022045350	757318	72330	390331	63615
NW_022045351	1383475	31558	586708	35889
NW_022045352	1278	11807	180	39910
NW_022045353	28762	0	8621	0
NW_022045354	747	8823	1226	27967
NW_022045355	1618	19166	2144	43196
NW_022045356	247	37019	1233	140537
NW_022045307	6482	184496	9697	452344
NW_022045308	753	2299	1266	8859
NW_022045309	2075	2623	1757	6315
NW_022045310	41062	4628	60062	9936
NW_022045311	1119	7142	2065	13692
NW_022045312	1439	22227	3861	51732
NW_022045313	25669	0	18045	495
NW_022045314	16400	106310	24702	524923
NW_022045315	17817	104256	39395	285583
NW_022045316	515	4368	3174	29197
NW_022045317	14195	8861	2370	15303
NW_022045318	1507	9609	1118	18857
NW_022045319	4708	35623	10146	70767
NW_022045320	955	46828	4517	143530
NW_022045321	615	3712	3681	20865
NW_022045322	26	13924	89	45938
NW_022045323	542	7302	313	15529
NW_022045324	697	7718	844	14297
NW_022045325	8737	2278	4393	6347
NW_022045326	5499	25268	4679	56432
NW_022045327	30645	7487	16615	3653
NW_022045328	8139	23257	6482	75286
NW_022045329	8729	16146	5254	27149
NW_022045330	4191	7723	4581	13840
NW_022045331	1033	4363	579	17297
NW_022045332	2128	5091	3078	25286
NW_022045333	405	13635	666	36909
NW_022045334	920	13708	590	39380
NW_022045335	497	9887	1140	30395
NW_022045336	0	370	0	1116
NW_022045337	94312	4637	34253	2021
NW_022045338	4189	44126	2490	140262
NW_022045339	298004	253658	448423	678544
NW_022045340	209	6346	623	12972
NC_044213	927978	27300270	1570634	120889917
NC_044225	181467	3416646	431471	14251898
NC_044223	170298	3894883	365112	16582061
NC_044227	204683	2713612	476888	10931379
NC_044228	753990	48456	370176	47311
NC_044238	350311	1493229	651789	4363859
NC_044214	1074696	20054466	1206285	90892912
NC_044222	521204	3696205	875400	16924202
NC_044236	126508	1819308	273508	5447061
NC_044241	607928	14211805	860784	59779189
NW_022045284	216	0	131	0
NW_022045285	0	9020	0	18655
NW_022045286	1675	4387	3403	11206
NW_022045287	8818	93115	16509	194736
NW_022045288	154	7431	194	14471
NW_022045289	11725	54098	16900	126174
NW_022045290	1703	8818	3734	18907
NW_022045291	2045	12578	5302	19821
NW_022045292	1416682	155364	1245196	265747
NW_022045293	442670	88770	263663	83649
NW_022045294	1027	13262	490	35077
NW_022045295	3258	18186	1293	25581
NW_022045296	3762	27225	1268	42806
NW_022045297	519	5527	400	13950
NW_022045298	1382	9082	3064	38202
NW_022045299	6007	59854	2637	304091
NW_022045300	1615	8569	5645	38705
NW_022045301	1707	7423	4147	20549
NW_022045302	6301	47998	12952	80329
NW_022045303	3083	7255	1933	11700
NW_022045304	11873	22017	7918	42505
NW_022045305	5462	91545	16061	578858
NW_022045306	466688	201090	379385	540509
NC_044233	437730	1752438	715547	5985848
NC_044234	486702	1149901	748315	3112371
NC_044231	94429	1574621	260990	6650866
NC_044230	148491	2220249	359340	8316439
NC_044216	160764	3783343	344448	15535758
NC_044237	427070	528862	674178	1392193
NC_044220	207161	6000556	439768	25962543
