Type	MissingRead	MissingNon-Read	Non-MissingRead	Non-MissingNon-Read
Genome	35443230	16392980	494774227	9030961
NC_046610	1924930	978413	24079880	373897
NC_046611	2246249	862467	30898400	277911
NC_046612	1235980	643075	25871306	187417
NC_046613	1305700	638919	23481372	664311
NC_046614	1365977	728208	24404880	220305
NC_046615	1169682	625766	22846434	421512
NC_046616	1500405	683451	22725191	197396
NC_046617	1511497	612350	19519474	189232
NC_046618	1506740	733009	25867292	412548
NC_046619	1449693	714969	21020112	271866
NC_046620	1490472	781751	19800566	290179
NC_046621	821380	414782	17987954	170225
NC_046622	1508747	648690	23555604	199800
NC_046623	775236	384555	18576355	138854
NC_046624	1041532	435951	20208152	235615
NC_046625	1130549	577155	22470300	256171
NC_046626	1752058	711896	20719381	233296
NC_046627	6095741	2318041	20151772	2515361
NC_046628	1010170	516808	16985505	181249
NC_046629	1538851	734212	21467414	755864
NC_046630	866994	379807	19543403	192273
NC_046631	640970	318588	14182379	217175
NC_046632	1004840	566983	18062416	299230
NW_022872793	19274	3684	20343	5153
NW_022872794	9249	34581	1475	933
NW_022872795	27399	8887	5824	73
NW_022872796	24607	4799	4767	1675
NW_022872797	16904	3790	4552	316
NW_022872798	20232	3698	16871	365
NW_022872799	38336	14130	23672	5318
NW_022872800	9961	9436	7769	3429
NW_022872801	19159	5086	34286	3812
NW_022872802	7370	5234	0	0
NW_022872803	41746	13465	22102	2421
NW_022872804	32124	11832	22018	2177
NW_022872805	23558	105718	11710	39180
NW_022872806	26111	11678	3661	1160
NW_022872807	16775	5021	9723	3703
NW_022872808	7059	4099	6505	12081
NW_022872809	25206	6891	10634	818
NW_022872810	6704	7971	9531	24480
NW_022872811	7169	16069	2551	1579
NW_022872812	21867	9493	13884	4447
NW_022872813	28823	12968	22468	1839
NW_022872814	26904	14087	21362	5038
NW_022872815	54590	10402	10506	927
NW_022872816	5297	10920	20502	406
NW_022872817	14888	6232	832	556
NW_022872818	5495	1365	22941	6331
NW_022872819	12030	41598	18196	1057
