Type	MissingReadAndGap	MissingNon-ReadAndGap	Non-MissingReadAndGap	Non-MissingNon-ReadAndGap
Genome	9743	51826467	9979	503795209
NC_046610	0	2903343	17	24453760
NC_046611	0	3108716	0	31176311
NC_046612	33	1879022	97	26058626
NC_046613	0	1944619	0	24145683
NC_046614	0	2094185	0	24625185
NC_046615	0	1795448	0	23267946
NC_046616	0	2183856	0	22922587
NC_046617	0	2123847	0	19708706
NC_046618	0	2239749	0	26279840
NC_046619	0	2164662	0	21291978
NC_046620	0	2272223	0	20090745
NC_046621	0	1236162	0	18158179
NC_046622	0	2157437	16	23755388
NC_046623	0	1159791	0	18715209
NC_046624	0	1477483	17	20443750
NC_046625	0	1707704	0	22726471
NC_046626	0	2463954	17	20952660
NC_046627	0	8413782	29	22667104
NC_046628	0	1526978	0	17166754
NC_046629	0	2273063	17	22223261
NC_046630	9710	1237091	9765	19725911
NC_046631	0	959558	0	14399554
NC_046632	0	1571823	4	18361642
NW_022872793	0	22958	0	25496
NW_022872794	0	43830	0	2408
NW_022872795	0	36286	0	5897
NW_022872796	0	29406	0	6442
NW_022872797	0	20694	0	4868
NW_022872798	0	23930	0	17236
NW_022872799	0	52466	0	28990
NW_022872800	0	19397	0	11198
NW_022872801	0	24245	0	38098
NW_022872802	0	12604	0	0
NW_022872803	0	55211	0	24523
NW_022872804	0	43956	0	24195
NW_022872805	0	129276	0	50890
NW_022872806	0	37789	0	4821
NW_022872807	0	21796	0	13426
NW_022872808	0	11158	0	18586
NW_022872809	0	32097	0	11452
NW_022872810	0	14675	0	34011
NW_022872811	0	23238	0	4130
NW_022872812	0	31360	0	18331
NW_022872813	0	41791	0	24307
NW_022872814	0	40991	0	26400
NW_022872815	0	64992	0	11433
NW_022872816	0	16217	0	20908
NW_022872817	0	21120	0	1388
NW_022872818	0	6860	0	29272
NW_022872819	0	53628	0	19253
