Type	RepeatMissing	RepeatNon-Missing	Non-RepeatMissing	Non-RepeatNon-Missing
Genome	140526478	755158161	72886132	889964800
NC_041728	17190536	82879316	6717432	79718732
NC_041729	15309217	75560723	5759718	75090005
NC_041730	11902836	61500410	5144097	63439739
NC_041731	10612314	59952316	3858003	61671756
NC_041732	9977730	48133831	4617805	47563664
NC_041733	2971656	21638626	1580035	25303175
NC_041734	5574546	34939962	2494217	40329318
NC_041735	3620813	28206141	1908874	37213986
NC_041736	2673780	23079127	1253491	34854825
NC_041737	3234575	22950112	2184971	31075038
NC_041738	5090481	24906250	2955756	30553544
NC_041739	3164635	24699305	2326459	30265650
NC_041740	1542703	14582700	1845753	24323486
NC_041741	2228544	20825286	1174703	28660873
NC_041742	1141485	10889188	705130	13639216
NC_041743	2547141	17447932	1459734	24942468
NC_041744	2760147	16442271	2311073	24023179
NC_041745	2641301	17241538	2520918	22280744
NC_041746	1253033	12851274	948212	20068022
NC_041747	970101	10828148	2147699	16589586
NC_041748	2676611	10946943	1579838	9311467
NC_041749	10155320	48020146	5173700	61691748
NC_041750	2314044	10825895	1413791	15108376
NC_041751	1238029	12426061	812488	19386758
NC_041752	962134	3449774	1194841	3032707
NC_041753	5744976	25749253	4124998	34520093
NW_021638003	347011	297336	128526	461127
NW_021638004	1088937	622500	909729	2299959
NW_021638005	513919	147256	494450	1861946
NW_021638006	449277	120878	285185	162660
NW_021638007	311719	24184	217046	25444
NW_021638008	4863	7682	474	8234
NW_021638009	2742	7509	133	11693
NW_021638010	38768	30570	388	1415
NW_021638011	926	10597	24	10013
NW_021638012	8351	24473	846	21043
NW_021638013	9454	7697	1723	10860
NW_021638014	577	26752	127	4301
NW_021638015	23394	2281	18782	3012
NW_021638016	34627	19253	208	315
NW_021638017	5791	19339	639	9868
NW_021638018	7416	1214	9839	1848
NW_021638019	5937	12862	507	1519
NW_021638020	13989	5123	743	524
NW_021638021	32607	8864	3500	870
NW_021638022	14179	12942	9390	8945
NW_021638023	1641	13305	55	11725
NW_021638024	486	17560	93	15027
NW_021638025	9824	13407	274	434
NW_021638026	2665	28636	233	17689
NW_021638027	12986	872	27047	2083
NW_021638028	181	12884	129	14099
NW_021638029	10962	17568	2524	16715
NW_021638030	4770	11365	391	11985
NW_021638031	818	9435	10	11893
NW_021638032	3691	15312	150	14042
NW_021638033	1119	7696	0	14826
NW_021638034	8597	18409	164	818
NW_021638035	126564	31753	9897	4429
NW_021638036	14095	10610	151	68
NW_021638037	9573	696	13530	1963
NW_021638038	4404	14181	1796	13362
NW_021638039	25751	306	32009	586
NW_021638040	403245	530365	78169	268979
NW_021638041	13899	57912	615	29106
NW_021638042	2195	24143	447	26676
NW_021638043	1358536	116581	549740	186383
NW_021638044	6990	30060	287	1372
NW_021638045	4603	15142	263	9392
NW_021638046	10653	23111	5207	10808
NW_021638047	1128	11119	1450	19757
NW_021638048	322	11928	0	11307
NW_021638049	3389	10235	907	10816
NW_021638050	11982	2649	14271	4248
NW_021638051	1976	12860	344	8723
NW_021638052	15303	18486	1256	2780
NW_021638053	11504	11592	286	123
NW_021638054	1370	8844	118	10966
NW_021638055	5827	4776	3941	9567
NW_021638056	24464	6307	1421	775
NW_021638057	30618	794	42037	1898
NW_021638058	20210	14946	1770	1667
NW_021638059	27837	48842	3158	12258
NW_021638060	953	13412	997	11653
NW_021638061	15055	15604	1202	1729
NW_021638062	264204	529231	99185	845101
NW_021638063	16103	205029	4915	657438
NW_021638064	5014	28039	928	15993
NW_021638065	26335	1612	34089	4655
NW_021638066	548	42419	14	52514
NW_021638067	192071	265719	36778	131250
NW_021638068	16518	25338	1680	4192
NW_021638069	8290	20455	5018	21101
NW_021638070	1829	13628	3	12776
NW_021638071	33774	5905	578	11
NW_021638072	127933	48478	24798	13489
NW_021638073	8115	14671	1834	12700
NW_021638074	11740	26781	105	1203
NW_021638075	1677	15330	2260	25995
NW_021638076	11893	285	11374	358
NW_021638077	8480	31568	30	659
NW_021638078	1848	24686	1523	25267
NW_021638079	322001	1646820	323280	1916261
NW_021638080	11543	819	14074	2292
NW_021638081	6424	23129	877	1651
