Type	CodingMissing	CodingNon-Missing	Non-CodingMissing	Non-CodingNon-Missing
Genome	1744560	25065275	35746501	997130923
NC_044264	29439	522882	313630	10300052
NC_044271	27226	363232	227677	5688597
NC_044269	17715	279060	234914	5929395
NC_044274	82765	1246385	1779738	70972116
NC_044250	41173	532824	359185	15712703
NC_044273	36487	401506	352431	4923563
NC_044275	37538	149083	203400	1498119
NC_044257	48005	584501	399281	19270562
NC_044256	55838	773869	673085	21161598
NC_044245	145048	2317870	2484020	146395201
NC_044254	40394	863917	597745	29588092
NC_044244	152935	3391330	3419240	190587505
NC_044272	50004	340034	467253	4891784
NC_044265	35292	528442	384325	14168816
NC_044266	22781	421504	201517	7064253
NW_022045534	11935	72510	95900	763710
NW_022045535	522	32889	17070	310629
NW_022045536	553	5583	21060	66135
NW_022045537	241	1643	2758	52647
NW_022045538	6982	2381	36143	27872
NW_022045539	0	0	70860	4934
NW_022045540	0	0	66306	13192
NW_022045541	0	2526	6391	17779
NW_022045542	0	0	33467	561
NW_022045543	0	0	28629	15646
NC_044255	31411	718499	515292	24421254
NC_044248	43280	821587	736666	43143811
NC_044261	38175	627000	343204	12878785
NC_044268	24659	332593	260348	5806303
NC_044263	40812	550641	365014	10661253
NC_044247	27901	513626	302713	17752877
NC_044246	110436	2063661	1841415	110795487
NC_044253	37191	1096029	701036	37304958
NC_044249	45546	491859	548405	22206135
NC_044262	21133	505850	198303	9748369
NC_044259	88102	548919	395707	16663387
NC_044267	19110	211071	331430	4636524
NC_044252	48029	881530	541886	33930513
NC_044258	37306	624877	323771	20366546
NC_044270	43894	212925	246308	1658784
NC_044251	60078	1029660	1053378	41737730
NC_044276	32758	107156	10636036	15672827
NW_022045418	0	0	55720	33671
NW_022045419	368	1549	10543	14960
NW_022045420	626	2716	12208	72741
NW_022045421	0	0	13744	38549
NW_022045422	2616	927	89108	24410
NW_022045423	1280	5773	12119	72841
NW_022045424	0	0	53599	5028
NW_022045425	292	3395	11761	32268
NW_022045426	0	0	229	50521
NW_022045427	0	0	4585	16980
NW_022045428	0	0	2056	47404
NW_022045429	912	405	24861	14993
NW_022045430	979	750	19046	6816
NW_022045431	954	0	31191	2988
NW_022045432	0	0	16198	4244
NW_022045433	576	761	24531	7821
NW_022045434	0	0	19902	1300
NW_022045435	654	0	66644	10664
NW_022045436	0	0	36986	2200
NW_022045437	0	0	8850	12774
NW_022045438	0	0	17545	7637
NW_022045439	184	159	14288	19418
NW_022045440	960	0	40397	10276
NW_022045441	313	0	3751	17678
NW_022045442	0	0	1199	21292
NW_022045443	1950	96	63724	5587
NW_022045444	0	0	21800	756
NW_022045445	1447	446	21358	8619
NW_022045446	3557	6250	25828	14059
NW_022045447	0	2907	25732	87604
NW_022045448	0	0	2426	101027
NW_022045449	19717	9236	512800	224640
NW_022045450	2628	399	56073	19595
NW_022045451	580	6941	17411	68222
NW_022045452	0	0	14	28856
NW_022045453	594	3509	19997	60899
NW_022045454	0	692	1916	19303
NW_022045455	0	3096	7937	79304
NW_022045456	0	354	4363	16491
NW_022045457	0	0	34800	5430
NW_022045458	0	1839	10076	26368
NW_022045459	1739	3032	4688	19133
