Type	MissingRead	MissingNon-Read	Non-MissingRead	Non-MissingNon-Read
Genome	81058390	132354220	1618926088	26196873
NC_041728	9321773	14586195	160806312	1791736
NC_041729	8599953	12468982	148800175	1850553
NC_041730	7055307	9991626	123581624	1358525
NC_041731	6071682	8398635	120340463	1283609
NC_041732	5805079	8790456	94424407	1273088
NC_041733	1931980	2619711	46538430	403371
NC_041734	3284544	4784219	74518515	750765
NC_041735	2124793	3404894	64836555	583572
NC_041736	1545472	2381799	57536463	397489
NC_041737	2095966	3323580	53544625	480525
NC_041738	3038791	5007446	54756240	703554
NC_041739	1842057	3649037	54393524	571431
NC_041740	1199589	2188867	38649877	256309
NC_041741	1405415	1997832	49122088	364071
NC_041742	794432	1052183	24342671	185733
NC_041743	1603195	2403680	41932865	457535
NC_041744	1697272	3373948	40047076	418374
NC_041745	1536917	3625302	39149947	372335
NC_041746	784380	1416865	32717661	201635
NC_041747	652910	2464890	27257635	160099
NC_041748	1610705	2645744	19918987	339423
NC_041749	5525282	9803738	107887523	1824371
NC_041750	1393613	2334222	25476721	457550
NC_041751	770629	1279888	31560833	251986
NC_041752	633888	1523087	6227997	254484
NC_041753	3375413	6494561	59178649	1090697
NW_021638003	90765	384772	62662	695801
NW_021638004	289592	1709074	515917	2406542
NW_021638005	101420	906949	79858	1929344
NW_021638006	84948	649514	23910	259628
NW_021638007	61680	467085	3228	46400
NW_021638008	4377	960	15629	287
NW_021638009	1501	1374	19202	0
NW_021638010	38957	199	31985	0
NW_021638011	950	0	20610	0
NW_021638012	5442	3755	44796	720
NW_021638013	4465	6712	17828	729
NW_021638014	704	0	31053	0
NW_021638015	4310	37866	0	5293
NW_021638016	34835	0	19568	0
NW_021638017	3365	3065	27819	1388
NW_021638018	0	17255	0	3062
NW_021638019	6444	0	14381	0
NW_021638020	14732	0	5647	0
NW_021638021	10526	25581	7622	2112
NW_021638022	11809	11760	20194	1693
NW_021638023	1031	665	24499	531
NW_021638024	555	24	32112	475
NW_021638025	10024	74	13841	0
NW_021638026	1630	1268	42996	3329
NW_021638027	727	39306	0	2955
NW_021638028	310	0	26983	0
NW_021638029	6038	7448	31577	2706
NW_021638030	3286	1875	22182	1168
NW_021638031	828	0	21229	99
NW_021638032	2361	1480	28240	1114
NW_021638033	700	419	22516	6
NW_021638034	8687	74	19227	0
NW_021638035	63384	73077	26823	9359
NW_021638036	14246	0	10678	0
NW_021638037	0	23103	0	2659
NW_021638038	3005	3195	26178	1365
NW_021638039	4163	53597	0	892
NW_021638040	256648	224766	740484	58860
NW_021638041	7809	6705	85138	1880
NW_021638042	1861	781	50804	15
NW_021638043	243370	1664906	17631	285333
NW_021638044	7277	0	31432	0
NW_021638045	2123	2743	22767	1767
NW_021638046	9154	6706	30096	3823
NW_021638047	285	2293	24174	6702
NW_021638048	175	147	22883	352
NW_021638049	1559	2737	18402	2649
NW_021638050	1662	24591	118	6779
NW_021638051	2320	0	21583	0
NW_021638052	9205	7354	20534	732
NW_021638053	11761	29	11715	0
NW_021638054	714	774	19711	99
NW_021638055	2080	7688	13715	628
NW_021638056	25638	247	7082	0
NW_021638057	5926	66729	9	2683
NW_021638058	10471	11509	15186	1427
NW_021638059	13522	17473	59372	1728
NW_021638060	1152	798	24779	286
NW_021638061	16257	0	17333	0
NW_021638062	112454	250935	1017142	357190
NW_021638063	13907	7111	423346	439121
NW_021638064	3760	2182	43776	256
NW_021638065	7511	52913	0	6267
NW_021638066	308	254	94191	742
NW_021638067	135274	93575	379634	17335
NW_021638068	13927	4271	29389	141
NW_021638069	8408	4900	39891	1665
NW_021638070	1408	424	26404	0
NW_021638071	33689	663	5916	0
NW_021638072	60994	91737	46869	15098
NW_021638073	7390	2559	26219	1152
NW_021638074	11796	49	27984	0
NW_021638075	2116	1821	41051	274
NW_021638076	1477	21790	0	643
NW_021638077	8510	0	32227	0
NW_021638078	907	2464	48678	1275
NW_021638079	267159	378122	3517674	45407
NW_021638080	3280	22337	0	3111
NW_021638081	5946	1355	24641	139
NW_021638082	2861	2116	32452	351
NW_021638083	35720	617	11173	0
NW_021638084	1969	1866	31096	528
NW_021638085	1019	720	53656	651
NW_021638086	26310	54664	23955	5047
NW_021638087	13415	4497	36293	2932
NW_021638088	530	0	59258	24
NW_021638089	3102	13502	20357	202
NW_021638090	19660	0	28259	0
NW_021638091	0	0	25603	0
NW_021638092	4662	1344	31586	0
NW_021638093	19182	398	3930	0
NW_021638094	6561	449	36470	1169
NW_021638095	8958	0	14697	0
NW_021638096	4255	6332	22139	4076
NW_021638097	3831	16735	0	1650
NW_021638098	7568	24	14754	0
NW_021638099	1030	306	20378	1962
NW_021638100	2396	112	44165	736
NW_021638101	2986	2893	33340	148
NW_021638102	1749	1098	46833	0
NW_021638103	3290	4055	18722	1255
NW_021638104	4677	2771	32745	225
NW_021638105	25622	127	1655	0
NW_021638106	4466	6218	12289	346
NW_021638107	1454	68092	0	4311
NW_021638108	1253	16788	0	2202
NW_021638109	7639	1647	24663	0
NW_021638110	14486	35583	38324	3312
NW_021638111	5071	1159	17495	185
NW_021638112	3654	3568	24804	763
NW_021638113	4338	2643	27710	901
NW_021638114	11804	8605	49220	2075
NW_021638115	588	49	24769	0
NW_021638116	63460	31970	636267	9782
NW_021638117	2500	10093	24446	6333
NW_021638118	14313	497	5603	0
NW_021638119	50028	55299	214782	8314
NW_021638120	1959	462	43985	111
NW_021638121	2098	597	56611	571
NW_021638122	2517	673	34821	0
NW_021638123	1903	26597	0	918
NW_021638124	0	0	30793	0
NW_021638125	17803	0	16046	0
NW_021638126	43475	49	40961	0
NW_021638127	7366	4449	43359	1089
NW_021638128	9343	5842	32801	1096
NW_021638129	26310	0	20698	0
NW_021638130	3780	3043	49459	2562
NW_021638131	55753	403	17453	0
NW_021638132	26330	50	48170	0
NW_021638133	17539	20	6562	0
NW_021638134	9571	0	31051	0
NW_021638135	0	0	22046	0
NW_021638136	3898	48869	10	1562
NW_021638137	30	0	26792	0
NW_021638138	13488	0	22063	0
NW_021638139	157935	11028	68265	491
NW_021638140	8959	9364	10518	1714
NW_021638141	1271	0	21462	0
NW_021638142	15273	0	40201	0
NW_021638143	19022	247	5037	0
NW_021638144	13028	30588	6930	5301
NW_021638145	951	20186	0	3004
NW_021638146	8320	11847	147357	7148
NW_021638147	20623	0	18636	0
NW_021638148	2452	1187	18860	1783
NW_021638149	12777	0	19701	0
NW_021638150	1649	175	28879	93
NW_021638151	7641	8297	18495	614
NW_021638152	4961	399	20066	0
NW_021638153	11	0	24920	0
NW_021638154	3671	0	22595	0
NW_021638155	10229	11149	23870	2078
NW_021638156	1828	3177	31428	1141
NW_021638157	349	0	20168	24
NW_021638158	13542	21936	15379	28
NW_021638159	8555	3474	14576	230
NW_021638160	17131	14250	31142	3619
NW_021638161	19328	27350	398149	14967
NW_021638162	17006	50	14921	0
NW_021638163	299	4214	9912	27050
NW_021638164	2417	3091	29950	6568
NW_021638165	4879	10662	22407	2562
NW_021638166	10528	18514	31078	2496
NW_021638167	5524	0	19215	0
NW_021638168	12584	9648	26183	1163
NW_021638169	21330	27574	29681	2570
