Type	MissingReadmapping	MissingNon-Readmapping	Non-MissingReadmapping	Non-MissingNon-Readmapping
Genome	31058202	20778008	492019788	11785400
NC_046610	1661742	1241601	23920860	532917
NC_046611	1998637	1110079	30759781	416530
NC_046612	1081467	797588	25776629	282094
NC_046613	1138525	806094	23363311	782372
NC_046614	1191801	902384	24284133	341052
NC_046615	1019730	775718	22743330	524616
NC_046616	1309494	874362	22616412	306175
NC_046617	1340123	783724	19419082	289624
NC_046618	1313055	926694	25750291	529549
NC_046619	1267548	897114	20911094	380884
NC_046620	1298509	973714	19649638	441107
NC_046621	718182	517980	17917758	240421
NC_046622	1332826	824611	23448245	307159
NC_046623	680717	479074	18500950	214259
NC_046624	911874	565609	20140758	303009
NC_046625	977388	730316	22357614	368857
NC_046626	1536072	927882	20571531	381146
NC_046627	5387850	3025932	19818486	2848647
NC_046628	881476	645502	16893991	272763
NC_046629	1340083	932980	21334382	888896
NC_046630	768901	477900	19458540	277136
NC_046631	568811	390747	14122824	276730
NC_046632	880114	691709	17951258	410388
NW_022872793	16775	6183	18380	7116
NW_022872794	7147	36683	1090	1318
NW_022872795	24662	11624	5684	213
NW_022872796	21455	7951	3539	2903
NW_022872797	14295	6399	3850	1018
NW_022872798	18109	5821	16488	748
NW_022872799	30716	21750	20084	8906
NW_022872800	8418	10979	6035	5163
NW_022872801	16071	8174	32568	5530
NW_022872802	6445	6159	0	0
NW_022872803	33605	21606	20003	4520
NW_022872804	27486	16470	19448	4747
NW_022872805	15920	113356	8680	42210
NW_022872806	18756	19033	3068	1753
NW_022872807	13678	8118	8130	5296
NW_022872808	5414	5744	3931	14655
NW_022872809	20946	11151	9833	1619
NW_022872810	4466	10209	6289	27722
NW_022872811	5771	17467	2498	1632
NW_022872812	18045	13315	11894	6437
NW_022872813	23748	18043	20735	3572
NW_022872814	22041	18950	19158	7242
NW_022872815	49195	15797	9883	1550
NW_022872816	4304	11913	19996	912
NW_022872817	11441	9679	561	827
NW_022872818	4466	2394	20230	9042
NW_022872819	9902	43726	16835	2418
