Type	CodingMissing	CodingNon-Missing	Non-CodingMissing	Non-CodingNon-Missing
Genome	3556880	26458805	46887719	981091876
NC_044224	39604	645369	315955	19434724
NC_044218	45167	935237	598437	34086193
NC_044235	56645	324327	697447	5751503
NC_044217	104155	1737140	922357	59241714
NC_044212	45515	1507850	773824	68103414
NC_044243	336336	81657	4577023	1073134
NC_044242	138757	179295	1610612	2281598
NC_044226	51970	707145	577015	15337337
NC_044229	33271	493840	419460	10740631
NC_044240	85917	374370	876124	4758197
NC_044215	90670	1402479	1272161	68787608
NW_022045357	75351	5277	1415537	60777
NW_022045358	567	0	27917	0
NW_022045359	24148	48491	217932	1293435
NW_022045360	0	783	1998	30027
NW_022045361	0	999	4742	29905
NW_022045362	99225	24664	493622	119297
NW_022045363	0	0	1362	44205
NW_022045364	0	664	26	20094
NW_022045365	0	0	433	23604
NW_022045366	257	3379	6829	48224
NW_022045367	102	813	751	27205
NW_022045368	0	0	1511	21005
NW_022045369	0	561	255	33239
NW_022045370	3	3057	4019	62737
NW_022045371	373	281	2062	33950
NW_022045372	1282	4377	18080	62164
NW_022045373	1	9224	7197	173299
NW_022045374	25074	14215	592162	211233
NW_022045375	0	0	17	42966
NW_022045376	0	0	867	36284
NW_022045377	3038	3754	39987	105477
NW_022045378	8006	2854	77302	16533
NW_022045379	2384	1361	232087	259503
NW_022045380	0	3381	1572	44982
NW_022045381	0	918	860	19435
NW_022045382	0	0	3546	23642
NW_022045383	0	918	740	36439
NW_022045384	0	0	1275	30463
NC_044232	38483	530983	566531	14542770
NC_044219	45452	1140537	576049	36297976
NC_044239	117572	342597	914942	4051486
NC_044221	38628	734761	502406	24299870
NC_044211	87856	2089041	1508827	110871691
NW_022045341	188992	31679	2179510	511182
NW_022045342	0	0	327	115556
NW_022045343	0	933	4940	33986
NW_022045344	1	2597	6806	121850
NW_022045345	0	909	1208	26442
NW_022045346	0	1404	1727	22130
NW_022045347	0	0	6824	51047
NW_022045348	0	780	24	31217
NW_022045349	19811	2248	189073	29879
NW_022045350	89857	24168	1057792	111777
NW_022045351	104967	4831	1865216	62616
NW_022045352	0	0	1458	51717
NW_022045353	525	0	36858	0
NW_022045354	0	2265	1973	34525
NW_022045355	402	6105	3360	56257
NW_022045356	0	4476	1480	173080
NW_022045307	5	28951	16174	607889
NW_022045308	0	0	2019	11158
NW_022045309	0	0	3832	8938
NW_022045310	12844	3086	88280	11478
NW_022045311	0	225	3184	20609
NW_022045312	80	2500	5220	71459
NW_022045313	317	0	43397	495
NW_022045314	6340	18530	34762	612703
NW_022045315	0	0	57212	389839
NW_022045316	37	5747	3652	27818
NW_022045317	0	1542	16565	22622
NW_022045318	0	1425	2625	27041
NW_022045319	3378	7278	11476	99112
NW_022045320	2516	27407	2956	162951
NW_022045321	0	2304	4296	22273
NW_022045322	0	5502	115	54360
NW_022045323	0	1911	855	20920
NW_022045324	0	573	1541	21442
NW_022045325	0	0	13130	8625
NW_022045326	1201	2141	8977	79559
NW_022045327	1723	638	45537	10502
NW_022045328	1168	6429	13453	92114
NW_022045329	1353	2910	12630	40385
NW_022045330	2496	594	6276	20969
NW_022045331	201	24	1411	21636
NW_022045332	0	0	5206	30377
NW_022045333	0	2040	1071	48504
NW_022045334	0	1761	1510	51327
NW_022045335	0	0	1637	40282
NW_022045336	0	0	0	1486
NW_022045337	6198	30	122367	6628
NW_022045338	29	1033	6650	183355
NW_022045339	44347	55623	702080	876579
NW_022045340	0	1383	832	17935
NC_044213	157135	2382271	2341477	145807916
NC_044225	47960	555851	564978	17112693
NC_044223	53950	627121	481460	19849823
NC_044227	48392	617031	633179	13027960
NC_044228	77409	9654	1046757	86113
NC_044238	66589	368900	935511	5488188
NC_044214	112093	2255726	2168888	108691652
NC_044222	63761	721941	1332843	19898466
NC_044236	24786	292493	375230	6973876
NC_044241	52706	1459234	1416006	72531760
NW_022045284	0	0	347	0
NW_022045285	0	1422	0	26253
NW_022045286	1114	2533	3964	13060
NW_022045287	0	0	25327	287851
NW_022045288	13	1415	335	20487
NW_022045289	609	4404	28016	175868
NW_022045290	2	2956	5435	24769
NW_022045291	0	437	7347	31962
NW_022045292	232859	50651	2429019	370460
NW_022045293	53323	13340	653010	159079
NW_022045294	0	825	1517	47514
NW_022045295	0	327	4551	43440
NW_022045296	0	300	5030	69731
NW_022045297	0	573	919	18904
NW_022045298	0	1377	4446	45907
NW_022045299	1071	5412	7573	358533
NW_022045300	0	0	7260	47274
NW_022045301	0	993	5854	26979
NW_022045302	1392	13767	17861	114560
NW_022045303	0	0	5016	18955
NW_022045304	1511	5704	18280	58818
NW_022045305	31	15671	21492	654732
NW_022045306	44906	58822	801167	682777
NC_044233	49641	405150	1103636	7333136
NC_044234	87820	230118	1147197	4032154
NC_044231	27809	483590	327610	7741897
NC_044230	49354	564686	458477	9972002
NC_044216	31617	534376	473595	18784725
NC_044237	146957	249017	954291	1672038
NC_044220	37473	900136	609456	31062963
